Country Name,Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223502,274280,,
Africa Eastern and Southern,AFE,3418300,3775300,4074500,4808000,5126100,5333100,6040400,5798900,6195600,7515200,8614600,9063100,9088900,8973900,9474400,9385300,8825600,9837400,10931600,11110800,11257400,10802900,10302700,11082400,11775500,12153400,13178400,13456500,13234700,14038500,14963609,14546112,14462573,15802323,17562611,20661751,22039609,23295972,23988552,23800085,30374164.94,33507824.27,35838679.01,35112457.82,36350758.95,39154692,41553429,45423814.08,52613964.08,54335254.28,
Afghanistan,AFG,84700,97400,104900,96600,96100,99000,101700,111200,100400,93000,76200,129100,181000,200200,220400,225500,184400,217900,201000,220000,241400,212300,212300,197000,238400,250400,255600,89600,52700,140200,149705,,,,,,,,,,1999127,2279341.18,1737962.126,2044188,2209428,1929907,1917924,1647425,1125367,1066747.356,
Africa Western and Central,AFW,1167000,1238100,1285700,1453300,1685700,1987500,2540000,2962100,3543900,3776100,4404900,5147600,5190100,5423600,5311800,5794300,5265300,4485000,3930700,3602400,3551000,3405900,3209800,2840600,3167100,3215200,2855900,3020900,3007600,3083500,2949248,2627404,2072438,2081206,2604956,,,,,,7817344.203,9140452.129,9570161.788,8677884,8030237.17,8696300,8129874,8837017,12337766.28,11346590.74,
Angola,AGO,,,,,,,155400,282700,308000,546100,635200,801100,890500,952500,689600,894200,727000,746000,750000,509800,451500,456000,440000,333500,519000,552500,585000,555000,552900,293800,235448,193317,189619,198253,222032,239795,262666,277361,283887,274869,1010194,987798,1132424,1321872,1409952,1244491,1482546,1375523,1516628,1436959,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,9100,13000,29000,55400,21200,91500,136622,146273,137569,158888,179543,195702,213315,238913,243691,231263,768533,829778.9239,814339.7303,865848,151632,,26634,204090,303137,307741,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,4209300,4737000,5625600,6569400,8227100,10178000,13313000,16062400,18669700,21838000,24725900,25883200,27570500,29098800,30019300,29988100,27905400,29113000,30660000,31525100,31484000,28835100,33877100,34017400,35968300,35918200,38024200,39692100,40403700,43269900,45723758,46769231,49871837,52465002,60950501,43608649,47875367,51722644,53542019,95372047,126796491.9,135837641.4,152014159.7,166209279.1,181627311.1,195957046,214318723,223496214.1,232670166.9,235289347.9,
United Arab Emirates,ARE,,,,,127500,173000,240100,299800,374500,456500,521500,577800,569800,601800,674200,717500,935200,1093000,1329500,1481700,1685900,2041800,2508800,2936300,3368700,3550500,4063500,4720400,5263700,5840300,6893085,7675845,9667005,11609840,14314326,,,,,31761631,44948143.85,50342891.8,59948766.7,68151865,75608196,84343562,91763598,95306195,95758342,92798725.09,
Argentina,ARG,2332000,2218600,2358500,2312700,2943500,3299200,3293600,3884100,3946700,5023500,5588500,4890100,4595900,4399600,5163600,4713200,5034700,5405800,5068800,4748400,5369100,4545900,5251400,5104500,6260700,6641700,7913000,8599800,8446500,9191900,8915627,5808770,5662905,6036360,6795484,6938436,6611915,7036784,6147290,5694547,9025035.312,8590839.85,9375669.74,11951276.82,12121912.82,14245183,15076354,16749271,18084553,19461377,
