Date,Price(in dollars),Open,High,Low,Vol.,Change%
"Jul 27, 2021",303.29,304.31,307.62,298.53,2.26M,-0.33
"Jul 26, 2021",304.31,302.6,327.62,301.19,2.86M,0.58
"Jul 25, 2021",302.57,302.55,303.09,292.85,1.25M,-0.19
"Jul 24, 2021",303.15,298.91,305.01,296.16,1.81M,1.42
"Jul 23, 2021",298.89,293.51,301.15,281.68,1.98M,1.83
"Jul 22, 2021",293.53,293.08,297.69,287.55,1.47M,0.15
"Jul 21, 2021",293.08,264.59,298.69,261.51,2.18M,10.77
"Jul 20, 2021",264.59,280.48,283.25,255.79,2.25M,-5.66
"Jul 19, 2021",280.47,302.16,303.49,279.38,1.63M,-7.18
"Jul 18, 2021",302.18,300.34,309,299.6,1.03M,0.62
"Jul 17, 2021",300.31,302.88,306.41,295.11,1.31M,-0.84
"Jul 16, 2021",302.84,315.62,323.21,301.85,1.77M,-4.04
"Jul 15, 2021",315.58,309.49,324.15,301.92,2.49M,1.98
"Jul 14, 2021",309.45,308.96,313.29,290.93,1.65M,0.15
"Jul 13, 2021",308.98,316.15,318.16,305.35,1.08M,-2.27
"Jul 12, 2021",316.17,321.91,334.34,308.77,1.52M,-1.77
"Jul 11, 2021",321.88,316.07,326.55,312.28,929.54K,1.84
"Jul 10, 2021",316.07,316.77,321.2,310.82,958.95K,-0.22
"Jul 09, 2021",316.77,310.52,319.48,302.28,1.28M,2.01
"Jul 08, 2021",310.52,327.65,328.17,307.04,1.89M,-5.24
"Jul 07, 2021",327.68,320.01,339.36,318.33,2.02M,2.39
"Jul 06, 2021",320.02,302.01,321.89,301.95,2.34M,5.86
"Jul 05, 2021",302.31,307.88,307.88,292.4,1.62M,-1.81
"Jul 04, 2021",307.88,299.25,314.73,299.1,1.50M,2.88
"Jul 03, 2021",299.25,287.37,302.93,283.06,1.11M,4.13
"Jul 02, 2021",287.38,287.64,290.58,276.78,1.18M,-0.09
"Jul 01, 2021",287.63,303.24,303.41,281.4,1.62M,-5.15
"Jun 30, 2021",303.25,299.88,304.71,281.84,2.36M,1.12
"Jun 29, 2021",299.88,289.85,315.04,289.27,2.43M,3.47
"Jun 28, 2021",289.83,290.87,298.93,283.91,2.16M,-0.35
"Jun 27, 2021",290.86,279.45,291.08,270,1.79M,4.08
"Jun 26, 2021",279.45,281.15,290.05,264.47,2.63M,-0.6
"Jun 25, 2021",281.13,308.57,314.08,275.62,3.26M,-8.81
"Jun 24, 2021",308.31,296.13,316.2,281.74,3.12M,4.11
"Jun 23, 2021",296.14,261.47,309.45,251.9,4.07M,13.27
"Jun 22, 2021",261.45,271.81,290.65,225.93,6.75M,-3.8
"Jun 21, 2021",271.8,339.09,341.52,269.45,4.55M,-19.94
"Jun 20, 2021",339.47,334.15,340.38,310.54,1.99M,1.58
"Jun 19, 2021",334.19,336.71,344.33,331.88,1.33M,-0.74
"Jun 18, 2021",336.67,352.66,357.03,327.39,1.95M,-4.53
"Jun 17, 2021",352.64,347.14,362.36,346.18,1.53M,1.58
"Jun 16, 2021",347.15,366.77,366.77,343.49,1.89M,-5.35
"Jun 15, 2021",366.78,370.08,379.49,363.84,1.90M,-0.89
"Jun 14, 2021",370.06,365.83,377.02,355.23,2.42M,1.16
"Jun 13, 2021",365.83,343.26,369,330.64,2.39M,6.58
"Jun 12, 2021",343.23,345.59,348.75,325.63,2.55M,-0.65
"Jun 11, 2021",345.46,351.46,365.51,341.53,2.71M,-1.7
"Jun 10, 2021",351.43,375.53,376.81,344.96,2.96M,-6.36
"Jun 09, 2021",375.29,352.54,378.44,333.69,4.24M,6.42
"Jun 08, 2021",352.64,358.05,365.89,320.39,5.99M,-1.52
"Jun 07, 2021",358.08,393.23,406.99,354.55,3.60M,-8.93
"Jun 06, 2021",393.2,390.09,399.82,382.07,2.27M,0.8
"Jun 05, 2021",390.09,390.68,425.57,374.62,4.79M,-0.23
"Jun 04, 2021",390.97,428.47,428.71,366.56,5.92M,-8.56
"Jun 03, 2021",427.59,401.13,432.58,391.83,5.06M,6.6
"Jun 02, 2021",401.12,362.39,417.41,351.19,5.26M,10.69
"Jun 01, 2021",362.39,353.63,364.16,340.56,4.42M,2.45
"May 31, 2021",353.74,325.6,355.43,307.9,4.97M,8.65
"May 30, 2021",325.59,304.81,337.77,291.72,4.52M,6.83
"May 29, 2021",304.76,329.31,346.88,296.43,4.57M,-7.45
"May 28, 2021",329.31,369.79,373.28,313.42,6.31M,-10.38
"May 27, 2021",367.46,379.2,387.17,340.81,5.18M,-3.1
"May 26, 2021",379.22,343.76,387.25,337.4,5.82M,10.31
"May 25, 2021",343.77,345.44,374.86,307.55,7.93M,-0.36
"May 24, 2021",345.02,261.56,349.89,257.97,8.07M,31.9
"May 23, 2021",261.57,299.25,312.85,212.41,9.23M,-12.59
"May 22, 2021",299.25,326.44,334.69,286.5,5.57M,-8.33
"May 21, 2021",326.44,391.12,414.79,276.78,9.21M,-16.86
"May 20, 2021",392.64,335.09,423.5,287.48,8.49M,17.16
"May 19, 2021",335.12,508.27,515.55,282.3,11.92M,-34.07
"May 18, 2021",508.28,511.79,533.45,496.65,2.86M,-0.68
"May 17, 2021",511.76,563.37,563.38,484.3,4.24M,-9.17
"May 16, 2021",563.41,562.84,606.53,535.01,3.07M,0.1
"May 15, 2021",562.85,602.44,610.39,560.58,2.38M,-6.57
"May 14, 2021",602.46,571.76,614.69,566.69,2.30M,5.37
"May 13, 2021",571.76,585.61,632.91,527.16,5.74M,-2.36
"May 12, 2021",585.6,671.61,684.51,585.35,2.92M,-12.89
"May 11, 2021",672.26,631.66,672.98,622.87,2.78M,6.42
"May 10, 2021",631.68,661.65,690.87,592.52,3.24M,-4.53
"May 09, 2021",661.65,646.17,678.27,631.44,2.45M,2.39
"May 08, 2021",646.18,624.35,657.77,618.73,2.33M,3.55
"May 07, 2021",624.02,633.99,644.14,612.12,2.26M,-1.46
"May 06, 2021",633.28,650.81,653.58,620.02,2.35M,-2.72
"May 05, 2021",650.99,620.81,656.35,620.55,2.55M,5.01
"May 04, 2021",619.96,676.25,677.67,619.79,4.13M,-8.37
"May 03, 2021",676.56,621.96,679.98,621.56,3.14M,8.78
"May 02, 2021",621.95,619.91,628.93,595.75,2.35M,0.34
"May 01, 2021",619.84,623.25,643.21,611.49,2.72M,-0.56
"Apr 30, 2021",623.33,599.89,627.71,586.03,3.75M,3.82
