Date,POONDI,CHOLAVARAM,REDHILLS,CHEMBARAMBAKKAM
01-01-2004,3.90,0.00,268.00,0.00
02-01-2004,3.90,0.00,268.00,0.00
03-01-2004,3.90,0.00,267.00,0.00
04-01-2004,3.90,0.00,267.00,0.00
05-01-2004,3.80,0.00,267.00,0.00
06-01-2004,3.80,0.00,266.00,0.00
07-01-2004,3.80,0.00,266.00,0.00
08-01-2004,3.70,0.00,265.00,0.00
09-01-2004,3.70,0.00,264.00,0.00
10-01-2004,3.70,0.00,264.00,0.00
11-01-2004,3.60,0.00,263.00,0.00
12-01-2004,3.60,0.00,262.00,0.00
13-01-2004,3.60,0.00,261.00,0.00
14-01-2004,3.50,0.00,260.00,0.00
15-01-2004,3.50,0.00,259.00,0.00
16-01-2004,3.40,0.00,258.00,0.00
17-01-2004,3.40,0.00,256.00,0.00
18-01-2004,3.40,0.00,254.00,0.00
19-01-2004,3.40,0.00,252.00,0.00
20-01-2004,3.40,0.00,250.00,0.00
21-01-2004,3.30,0.00,247.00,0.00
22-01-2004,3.30,0.00,244.00,0.00
23-01-2004,3.30,0.00,242.00,0.00
24-01-2004,3.30,0.00,239.00,0.00
25-01-2004,3.20,0.00,237.00,0.00
26-01-2004,3.20,0.00,234.00,0.00
27-01-2004,3.90,0.00,232.00,0.00
28-01-2004,4.90,0.00,230.00,0.00
29-01-2004,4.90,0.00,227.00,0.00
30-01-2004,4.90,0.00,225.00,0.00
31-01-2004,4.80,0.00,223.00,0.00
01-02-2004,4.80,0.00,220.00,0.00
02-02-2004,4.80,0.00,218.00,0.00
03-02-2004,4.70,0.00,216.00,0.00
04-02-2004,4.70,0.00,213.00,0.00
05-02-2004,4.70,0.00,211.00,0.00
06-02-2004,4.60,0.00,209.00,0.00
07-02-2004,4.60,0.00,206.00,0.00
08-02-2004,4.60,0.00,204.00,0.00
09-02-2004,4.50,0.00,202.00,0.00
10-02-2004,4.50,0.00,200.00,0.00
11-02-2004,4.50,0.00,197.00,0.00
12-02-2004,4.40,0.00,195.00,0.00
13-02-2004,4.40,0.00,193.00,0.00
14-02-2004,4.40,0.00,191.00,0.00
15-02-2004,4.30,0.00,189.00,0.00
16-02-2004,4.30,0.00,186.00,0.00
17-02-2004,4.20,0.00,184.00,0.00
18-02-2004,4.30,0.00,182.00,0.00
19-02-2004,4.50,0.00,179.00,0.00
20-02-2004,4.80,0.00,177.00,0.00
21-02-2004,4.80,0.00,175.00,0.00
22-02-2004,4.80,0.00,172.00,0.00
23-02-2004,4.70,0.00,170.00,0.00
24-02-2004,4.70,0.00,168.00,0.00
25-02-2004,4.70,0.00,165.00,0.00
26-02-2004,4.60,0.00,163.00,0.00
27-02-2004,4.60,0.00,161.00,0.00
28-02-2004,4.50,0.00,158.00,0.00
29-02-2004,4.50,0.00,156.00,0.00
01-03-2004,4.40,0.00,153.00,0.00
02-03-2004,4.40,0.00,151.00,0.00
03-03-2004,4.30,0.00,149.00,0.00
04-03-2004,4.30,0.00,147.00,0.00
05-03-2004,4.20,0.00,145.00,0.00
06-03-2004,4.20,0.00,143.00,0.00
07-03-2004,4.20,0.00,141.00,0.00
08-03-2004,4.10,0.00,139.00,0.00
09-03-2004,6.96,0.00,137.00,0.00
10-03-2004,10.90,0.00,135.00,0.00
11-03-2004,14.40,0.00,134.00,0.00
12-03-2004,15.40,0.00,137.00,0.00
13-03-2004,16.20,0.00,140.00,0.00
14-03-2004,18.40,0.00,144.00,0.00
15-03-2004,21.00,0.00,147.70,0.00
16-03-2004,23.40,0.00,151.50,0.00
17-03-2004,25.20,0.00,155.30,0.00
18-03-2004,25.70,0.00,158.50,0.00
19-03-2004,24.00,0.00,161.70,0.00
20-03-2004,20.60,0.00,165.00,0.00
21-03-2004,17.10,0.00,168.20,0.00
22-03-2004,12.70,0.00,171.50,0.00
23-03-2004,10.00,0.00,174.90,0.00
24-03-2004,9.20,0.00,177.00,0.00
25-03-2004,9.50,0.00,179.00,0.00
26-03-2004,9.60,0.00,181.00,0.00
27-03-2004,9.60,0.00,182.80,0.00
28-03-2004,9.10,0.00,184.70,0.00
29-03-2004,8.50,0.00,186.60,0.00
30-03-2004,7.90,0.00,187.80,0.00
31-03-2004,7.90,0.00,188.80,0.00
01-04-2004,7.90,0.00,190.00,0.00
02-04-2004,8.10,0.00,191.10,0.00
03-04-2004,8.30,0.00,191.70,0.00
04-04-2004,7.50,0.00,192.40,0.00
05-04-2004,6.50,0.00,192.70,0.00
06-04-2004,5.60,0.00,191.70,0.00
07-04-2004,5.40,0.00,190.00,0.00
08-04-2004,5.80,0.00,188.30,0.00
09-04-2004,6.80,0.00,186.80,0.00
10-04-2004,7.70,0.00,186.30,0.00
11-04-2004,7.90,0.00,186.30,0.00
12-04-2004,7.10,0.00,186.30,0.00
13-04-2004,6.20,0.00,186.30,0.00
14-04-2004,5.80,0.00,185.60,0.00
15-04-2004,5.70,0.00,184.60,0.00
16-04-2004,5.40,0.00,182.90,0.00
17-04-2004,5.00,0.00,180.90,0.00
18-04-2004,4.80,0.00,178.70,0.00
19-04-2004,4.70,0.00,176.50,0.00
20-04-2004,4.60,0.00,174.20,0.00
21-04-2004,4.50,0.00,171.70,0.00
22-04-2004,4.40,0.00,169.40,0.00
23-04-2004,4.30,0.00,167.40,0.00
24-04-2004,4.20,0.00,165.40,0.00
25-04-2004,4.10,0.00,163.30,0.00
26-04-2004,4.00,0.00,161.20,0.00
27-04-2004,3.90,0.00,159.40,0.00
28-04-2004,3.80,0.00,157.30,0.00
29-04-2004,3.70,0.00,155.40,0.00
30-04-2004,3.60,0.00,153.30,0.00
01-05-2004,3.50,0.00,151.30,0.00
02-05-2004,3.40,0.00,149.20,0.00
03-05-2004,3.40,0.00,147.30,0.00
04-05-2004,5.20,0.00,147.30,0.00
05-05-2004,6.90,0.00,146.80,0.00
06-05-2004,8.70,0.00,149.50,0.00
07-05-2004,8.10,0.00,153.50,0.00
08-05-2004,6.50,0.00,157.30,0.00
09-05-2004,5.40,0.00,159.50,0.00
10-05-2004,4.50,0.00,160.50,0.00
11-05-2004,4.30,0.00,160.50,0.00
12-05-2004,4.30,0.00,159.00,0.00
13-05-2004,4.20,0.00,157.20,0.00
14-05-2004,4.10,0.00,155.30,0.00
15-05-2004,4.00,0.00,153.30,0.00
16-05-2004,3.90,0.00,151.20,0.00
17-05-2004,6.30,0.00,149.50,0.00
18-05-2004,7.30,0.00,149.00,0.00
19-05-2004,7.70,0.00,147.20,0.00
20-05-2004,7.70,0.00,145.40,0.00
21-05-2004,7.70,0.00,143.90,0.00
