Image,Class
image3476.jpg,Miscellaneous
image5198.jpg,Candle
image4183.jpg,Snowman
image1806.jpg,Miscellaneous
image7831.jpg,Miscellaneous
image537.jpg,Airplane
image9774.jpg,Christmas_Tree
image5365.jpg,Airplane
image9367.jpg,Christmas_Tree
image4819.jpg,Christmas_Tree
image4191.jpg,Miscellaneous
image6764.jpg,Jacket
image8345.jpg,Miscellaneous
image3198.jpg,Christmas_Tree
image7076.jpg,Airplane
image2257.jpg,Christmas_Tree
image7771.jpg,Miscellaneous
image7391.jpg,Snowman
image8473.jpg,Miscellaneous
image4470.jpg,Miscellaneous
image9387.jpg,Miscellaneous
image9663.jpg,Miscellaneous
image7431.jpg,Miscellaneous
image5324.jpg,Christmas_Tree
image8148.jpg,Miscellaneous
image7418.jpg,Miscellaneous
image883.jpg,Christmas_Tree
image7397.jpg,Jacket
image9505.jpg,Christmas_Tree
image6056.jpg,Miscellaneous
image6740.jpg,Christmas_Tree
image7121.jpg,Christmas_Tree
image9024.jpg,Airplane
image8690.jpg,Miscellaneous
image8602.jpg,Miscellaneous
image8996.jpg,Miscellaneous
image6582.jpg,Candle
image2336.jpg,Miscellaneous
image1977.jpg,Miscellaneous
image3473.jpg,Miscellaneous
image7925.jpg,Miscellaneous
image1563.jpg,Miscellaneous
image9495.jpg,Miscellaneous
image2691.jpg,Snowman
image7179.jpg,Christmas_Tree
image9820.jpg,Airplane
image481.jpg,Miscellaneous
image6761.jpg,Airplane
image7982.jpg,Christmas_Tree
image2398.jpg,Miscellaneous
image232.jpg,Miscellaneous
image6840.jpg,Miscellaneous
image4997.jpg,Jacket
image371.jpg,Miscellaneous
image6762.jpg,Jacket
image1764.jpg,Miscellaneous
image2018.jpg,Snowman
image801.jpg,Miscellaneous
image8744.jpg,Airplane
image6495.jpg,Miscellaneous
image8250.jpg,Miscellaneous
image5084.jpg,Miscellaneous
image2493.jpg,Miscellaneous
image679.jpg,Jacket
image2778.jpg,Candle
image128.jpg,Snowman
image7051.jpg,Miscellaneous
image8078.jpg,Jacket
image4080.jpg,Jacket
image6132.jpg,Candle
image4914.jpg,Miscellaneous
image1877.jpg,Jacket
image3981.jpg,Christmas_Tree
image2278.jpg,Miscellaneous
image4136.jpg,Miscellaneous
image3310.jpg,Miscellaneous
image9621.jpg,Miscellaneous
image5111.jpg,Miscellaneous
image2242.jpg,Miscellaneous
image336.jpg,Christmas_Tree
image7916.jpg,Christmas_Tree
image3504.jpg,Airplane
image5228.jpg,Jacket
image2412.jpg,Miscellaneous
image5985.jpg,Jacket
image9122.jpg,Miscellaneous
image4956.jpg,Miscellaneous
image7629.jpg,Jacket
image2925.jpg,Jacket
image9648.jpg,Jacket
image7381.jpg,Jacket
image1431.jpg,Miscellaneous
image7003.jpg,Airplane
image3406.jpg,Miscellaneous
image3208.jpg,Candle
image9346.jpg,Candle
image6412.jpg,Miscellaneous
image9350.jpg,Christmas_Tree
image2415.jpg,Miscellaneous
image5814.jpg,Candle
image7701.jpg,Jacket
image3521.jpg,Snowman
image7262.jpg,Snowman
image3179.jpg,Christmas_Tree
image9002.jpg,Miscellaneous
image9732.jpg,Miscellaneous
image3658.jpg,Christmas_Tree
image8630.jpg,Miscellaneous
image7293.jpg,Airplane
image1623.jpg,Candle
image6312.jpg,Miscellaneous
image6874.jpg,Jacket
image9365.jpg,Jacket
image9048.jpg,Snowman
image1580.jpg,Miscellaneous
image542.jpg,Miscellaneous
image9342.jpg,Miscellaneous
image6204.jpg,Miscellaneous
image8828.jpg,Miscellaneous
image2846.jpg,Christmas_Tree
image3985.jpg,Miscellaneous
image2058.jpg,Miscellaneous
image8154.jpg,Miscellaneous
image9911.jpg,Christmas_Tree
image8879.jpg,Miscellaneous
image77.jpg,Miscellaneous
image1748.jpg,Miscellaneous
image2782.jpg,Christmas_Tree
image8031.jpg,Candle
image5551.jpg,Christmas_Tree
image7635.jpg,Christmas_Tree
image510.jpg,Snowman
image158.jpg,Christmas_Tree
image2191.jpg,Miscellaneous
image9230.jpg,Christmas_Tree
image7552.jpg,Jacket
image6136.jpg,Christmas_Tree
image1155.jpg,Christmas_Tree
image628.jpg,Christmas_Tree
