Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,27.36,28.24,27.33,28.16,238973887.0,4067131459.0
2020-12-11,27.7,27.74,26.77,27.36,278060132.0,3951108419.0
2020-12-10,28.13,28.24,27.43,27.7,263890750.0,3999511565.0
2020-12-09,27.64,28.38,27.0,28.13,323390504.0,4062056065.0
2020-12-08,29.38,29.49,27.51,27.64,323672206.0,3990863862.0
2020-12-07,29.53,29.66,29.09,29.38,238972454.0,4242395534.0
2020-12-06,29.73,30.13,29.1,29.54,249993855.0,4265885903.0
2020-12-05,29.08,30.0,28.76,29.73,307895991.0,4293133190.0
2020-12-04,30.72,31.12,28.93,29.07,362626786.0,4198217551.0
2020-12-03,30.3,30.77,29.98,30.7,324897560.0,4433921194.0
2020-12-02,30.15,30.91,29.75,30.3,371441750.0,4375137745.0
2020-12-01,31.41,31.87,29.48,30.11,467818960.0,4347836463.0
2020-11-30,30.12,31.53,29.79,31.39,389608481.0,4533324240.0
2020-11-29,29.16,30.45,28.96,30.12,347773041.0,4349179641.0
2020-11-28,28.47,29.62,27.99,29.14,338275296.0,4208572006.0
2020-11-27,28.23,28.71,27.3,28.48,361093513.0,4112003794.0
2020-11-26,31.32,31.73,26.54,28.2,659590250.0,4072974928.0
2020-11-25,33.86,35.28,30.77,31.34,599500600.0,4526129072.0
2020-11-24,30.97,35.11,30.85,33.8,840230024.0,4881396848.0
2020-11-23,29.93,31.04,29.82,30.97,433686948.0,4471602512.0
2020-11-22,30.39,31.07,29.09,29.93,426289161.0,4321376636.0
2020-11-21,28.89,30.73,28.35,30.39,419204706.0,4388701800.0
2020-11-20,28.09,29.27,28.09,28.89,321436881.0,4172193980.0
2020-11-19,28.08,28.34,27.65,28.09,282317319.0,4056972965.0
2020-11-18,28.53,28.78,27.54,28.08,327690836.0,4054382129.0
2020-11-17,28.17,28.75,28.17,28.53,320321793.0,4120003069.0
2020-11-16,27.62,28.18,27.5,28.06,275039274.0,4052641542.0
2020-11-15,27.94,28.17,27.11,27.62,254946427.0,3988657963.0
2020-11-14,28.18,28.18,27.41,27.94,254114574.0,4034170650.0
2020-11-13,27.61,28.48,27.56,28.18,292737428.0,4069690555.0
2020-11-12,27.96,28.16,27.35,27.61,266092376.0,3987759263.0
2020-11-11,28.19,28.62,27.87,27.96,279645463.0,4037055489.0
2020-11-10,28.02,28.47,27.71,28.19,310738349.0,4071303515.0
2020-11-09,28.31,28.92,27.41,28.02,335957338.0,4045986040.0
2020-11-08,27.74,28.69,27.51,28.31,321186882.0,4087444400.0
2020-11-07,29.02,29.84,26.99,27.74,362934993.0,4005562956.0
2020-11-06,27.68,29.42,27.68,29.02,343104562.0,4190389442.0
2020-11-05,26.93,27.9,26.72,27.68,299236756.0,3996575588.0
2020-11-04,26.86,26.96,25.97,26.93,383972480.0,3889087338.0
2020-11-03,27.88,27.88,25.9,26.86,457901613.0,3878334077.0
2020-11-02,28.46,29.28,27.83,27.88,390864652.0,4026622517.0
2020-11-01,28.43,28.67,28.1,28.46,338657898.0,4110036786.0
2020-10-31,28.51,28.89,28.17,28.43,360596998.0,4105653935.0
2020-10-30,29.84,30.19,27.59,28.51,531974962.0,4116801767.0
2020-10-29,30.36,30.42,29.51,29.84,426303252.0,4309449684.0
2020-10-28,31.64,31.93,29.87,30.36,477279858.0,4384689479.0
2020-10-27,31.15,32.35,31.0,31.64,715978374.0,4568839011.0
2020-10-26,30.11,31.31,29.99,31.15,624224136.0,4498922939.0
2020-10-25,30.59,30.97,29.96,30.11,391997739.0,4347726477.0
2020-10-24,30.63,30.84,30.46,30.59,407454460.0,4417226481.0
2020-10-23,30.66,31.16,30.1,30.63,514504830.0,4423744907.0
2020-10-22,29.77,31.3,29.76,30.66,530907796.0,4427243882.0
2020-10-21,28.81,30.38,28.71,29.77,510855830.0,4299323300.0
2020-10-20,29.93,30.08,28.54,28.8,493774162.0,4159406132.0
2020-10-19,30.66,30.66,29.86,29.93,385913101.0,4321376045.0
2020-10-18,30.24,31.0,30.22,30.66,440840685.0,4427436309.0
2020-10-17,30.04,30.56,29.72,30.25,377026508.0,4368043546.0
2020-10-16,31.31,31.92,29.67,29.99,546849696.0,4331460193.0
2020-10-15,30.89,31.57,30.5,31.3,504135680.0,4519328173.0
2020-10-14,30.74,31.3,30.46,30.91,460297911.0,4463912580.0
2020-10-13,30.67,31.77,30.27,30.71,600050050.0,4434255414.0
2020-10-12,28.55,31.08,28.49,30.71,718406691.0,4435401470.0
2020-10-11,28.38,28.74,27.96,28.56,408482939.0,4123613065.0
2020-10-10,28.44,29.22,28.16,28.31,426434526.0,4088508780.0
2020-10-09,27.74,28.54,27.53,28.45,465984452.0,4107649100.0
2020-10-08,27.71,27.81,26.6,27.71,431553686.0,4000828629.0
2020-10-07,27.7,27.87,26.94,27.7,394557518.0,4000760079.0
2020-10-06,28.67,28.97,27.3,27.71,505088690.0,4002159704.0
2020-10-05,29.01,29.3,28.17,28.66,425642119.0,4138562603.0
2020-10-04,28.21,29.14,28.07,28.94,514574736.0,4179682323.0
2020-10-03,27.35,28.29,27.14,28.2,495908650.0,4072598561.0
2020-10-02,27.45,28.18,25.89,27.29,638940976.0,3940231194.0
2020-10-01,29.32,29.38,26.36,27.43,630087805.0,3961356701.0
2020-09-30,28.88,29.56,28.04,29.29,566560144.0,4229794764.0
2020-09-29,26.99,29.0,26.98,28.84,612454595.0,4165115470.0
2020-09-28,26.24,27.73,25.92,26.98,530311672.0,3896032265.0
2020-09-27,26.21,26.89,25.74,26.2,435755666.0,3783338709.0
2020-09-26,24.68,26.45,24.54,26.22,490827676.0,3786510684.0
2020-09-25,24.59,25.07,23.88,24.66,442583904.0,3561555011.0
2020-09-24,22.85,24.68,22.7,24.61,475917196.0,3554397706.0
2020-09-23,24.05,24.25,22.7,22.86,446713264.0,3300697550.0
2020-09-22,23.19,24.52,22.85,24.1,340023558.0,3480304977.0
2020-09-21,26.43,26.7,22.55,23.27,462503299.0,3360034461.0
2020-09-20,27.25,27.33,25.26,26.39,343197520.0,3811197212.0
2020-09-19,27.62,27.88,26.76,27.25,331216806.0,3935239344.0
2020-09-18,26.99,28.78,26.71,27.4,482149967.0,3956664775.0
2020-09-17,27.93,28.84,26.14,26.99,512578971.0,3897985086.0
2020-09-16,27.2,28.52,26.08,27.96,664539530.0,4038270839.0
2020-09-15,31.16,31.27,26.86,27.2,861821910.0,3928203643.0
2020-09-14,31.1,33.49,29.17,31.18,1009392260.0,4502400574.0
2020-09-13,28.53,32.33,28.22,31.06,1144638251.0,4485069875.0
2020-09-12,25.45,28.53,25.45,28.53,688007352.0,4119897328.0
2020-09-11,24.56,25.73,23.08,25.45,420689466.0,3675351150.0
2020-09-10,24.54,25.61,24.21,24.56,456365135.0,3546608927.0
2020-09-09,23.22,24.56,22.54,24.53,456284484.0,3542334928.0
2020-09-08,22.43,23.42,21.36,23.19,555422363.0,3348824083.0
2020-09-07,23.19,23.51,20.27,22.39,555588378.0,3233740277.0
2020-09-06,19.48,23.41,18.68,23.19,740680573.0,3348883884.0
2020-09-05,21.04,21.55,18.18,19.48,399969033.0,2812861769.0
2020-09-04,20.6,21.83,19.98,21.06,489923568.0,3040639911.0
2020-09-03,24.7,25.51,20.52,20.62,574956638.0,2977646779.0
2020-09-02,24.81,25.79,23.61,24.69,577817197.0,3565450183.0
2020-09-01,23.19,25.41,22.99,24.82,450200844.0,3584473534.0
2020-08-31,23.65,23.91,23.05,23.19,215511200.0,3349228654.0
2020-08-30,23.01,23.84,22.96,23.64,228141192.0,3414480811.0
2020-08-29,23.13,23.51,22.83,23.01,213897145.0,3322978734.0
2020-08-28,23.08,23.53,22.71,23.13,260086579.0,3340674193.0
2020-08-27,22.26,23.14,21.92,23.08,296206828.0,3333012206.0
2020-08-26,21.47,22.48,21.34,22.28,255812854.0,3216988911.0
2020-08-25,22.61,22.63,21.15,21.48,234877041.0,3101183769.0
2020-08-24,21.87,22.9,21.77,22.61,192633739.0,3264433403.0
