Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,161.62,166.4,161.29,165.09,328095197.0,3070046645.0
2020-12-11,166.44,166.69,159.65,161.65,396994620.0,3005926144.0
2020-12-10,170.34,170.96,164.39,166.41,397472839.0,3094229249.0
2020-12-09,173.35,173.47,161.74,170.32,532350698.0,3166820650.0
2020-12-08,179.71,181.3,170.21,173.37,569515279.0,3223309188.0
2020-12-07,178.55,187.34,176.12,179.7,646595813.0,3340782067.0
2020-12-06,181.98,183.0,174.28,178.55,490738173.0,3319363316.0
2020-12-05,177.58,184.66,173.83,181.97,792710254.0,3382670725.0
2020-12-04,170.84,195.89,168.58,177.55,1304860803.0,3300360688.0
2020-12-03,171.08,174.0,168.06,170.83,435721247.0,3175304688.0
2020-12-02,169.38,172.35,165.88,171.04,516900110.0,3179037319.0
2020-12-01,182.59,184.18,168.73,169.37,772317898.0,3147817254.0
2020-11-30,168.19,184.18,168.19,182.56,756538626.0,3392847128.0
2020-11-29,166.75,170.18,163.84,168.2,475164140.0,3125816707.0
2020-11-28,161.82,171.47,159.71,166.73,537586592.0,3098384417.0
2020-11-27,165.53,169.11,156.61,161.8,753053484.0,3006656358.0
2020-11-26,191.8,194.35,151.76,165.47,1483258713.0,3074633466.0
2020-11-25,208.91,211.85,188.11,191.84,1423905156.0,3564471590.0
2020-11-24,196.87,216.65,194.52,208.91,1977255200.0,3881563014.0
2020-11-23,177.87,197.27,175.17,196.9,1272012000.0,3658183906.0
2020-11-22,193.67,196.04,173.67,177.87,1097906401.0,3304390067.0
2020-11-21,166.0,196.37,166.0,193.67,1241312266.0,3597870524.0
2020-11-20,161.59,168.08,161.29,166.0,474041829.0,3083608095.0
2020-11-19,162.15,166.14,158.05,161.59,466428689.0,3001634851.0
2020-11-18,166.85,170.76,159.02,162.15,603602085.0,3011853321.0
2020-11-17,159.85,169.89,159.07,166.85,641073792.0,3098954265.0
2020-11-16,154.43,160.63,153.4,158.1,1273868444.0,2936209291.0
2020-11-15,157.74,158.23,152.91,154.43,427809861.0,2868014232.0
2020-11-14,161.15,161.46,155.49,157.74,755680913.0,2929240836.0
2020-11-13,158.17,161.83,156.39,161.15,753589540.0,2992443393.0
2020-11-12,159.12,160.96,156.03,158.17,724782218.0,2936948489.0
2020-11-11,157.19,162.03,156.89,159.13,827156705.0,2954627932.0
2020-11-10,160.13,161.74,155.36,157.19,623807612.0,2918620602.0
2020-11-09,166.88,167.1,157.0,160.12,684039443.0,2972845282.0
2020-11-08,162.21,167.83,160.55,166.88,682235661.0,3098111984.0
2020-11-07,167.64,172.66,158.72,162.21,734498980.0,3011360355.0
2020-11-06,159.75,168.84,158.44,167.64,724540086.0,3111983759.0
2020-11-05,152.17,162.44,152.04,159.75,741458841.0,2965414360.0
2020-11-04,153.78,153.78,146.93,152.16,965812021.0,2824348356.0
2020-11-03,158.67,158.67,146.68,153.78,826433367.0,2854333343.0
2020-11-02,164.64,166.66,157.2,158.67,754759967.0,2944952160.0
