Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,11.66,12.33,11.64,12.21,855257539.0,4841047357.0
2020-12-11,11.92,11.94,11.45,11.66,1028197389.0,4623343452.0
2020-12-10,12.63,12.65,11.88,11.92,911441756.0,4715343817.0
2020-12-09,12.14,12.79,11.63,12.63,1305647086.0,4996626296.0
2020-12-08,13.08,13.18,12.03,12.15,1057784369.0,4803745890.0
2020-12-07,13.49,13.52,12.91,13.08,894451650.0,5173640423.0
2020-12-06,13.17,13.52,12.81,13.49,1019945503.0,5336371894.0
2020-12-05,12.74,13.33,12.59,13.17,1048597571.0,5210062237.0
2020-12-04,13.97,14.03,12.61,12.74,1281415263.0,5039284343.0
2020-12-03,13.99,14.19,13.67,13.97,1118049762.0,5513160959.0
2020-12-02,13.39,14.13,13.14,13.99,1369209189.0,5518149574.0
2020-12-01,14.23,14.8,13.25,13.39,1850007077.0,5282299530.0
2020-11-30,13.37,14.38,13.37,14.23,1808384178.0,5612150333.0
2020-11-29,13.08,13.4,12.87,13.37,1244611322.0,5275744093.0
2020-11-28,12.49,13.41,12.39,13.08,1408628665.0,5159532581.0
2020-11-27,12.59,12.95,12.04,12.49,1705568925.0,4927526434.0
2020-11-26,14.26,14.45,11.36,12.58,3181022660.0,4948525351.0
2020-11-25,15.62,15.77,13.93,14.26,1779310502.0,5611825849.0
2020-11-24,15.27,16.25,15.01,15.62,2650363423.0,6146880911.0
2020-11-23,14.44,15.37,14.25,15.27,2108675136.0,6009223002.0
2020-11-22,15.36,15.62,13.91,14.44,2199639008.0,5684167331.0
2020-11-21,14.08,15.4,13.77,15.36,2190837254.0,6042706777.0
2020-11-20,13.62,14.4,13.51,14.08,1733532246.0,5539935066.0
2020-11-19,13.59,13.97,13.07,13.62,1523595574.0,5346718844.0
2020-11-18,13.24,14.2,12.92,13.59,2364966937.0,5335380994.0
2020-11-17,12.8,13.31,12.55,13.24,1527160119.0,5198675836.0
2020-11-16,12.12,12.79,12.03,12.59,1052161971.0,4942005574.0
2020-11-15,12.58,12.63,11.84,12.12,967748061.0,4757927484.0
2020-11-14,12.89,12.91,12.39,12.58,997198275.0,4936577002.0
2020-11-13,12.42,12.99,12.34,12.89,1306004087.0,5045766668.0
2020-11-12,12.81,13.08,12.31,12.42,1400960180.0,4863810509.0
2020-11-11,13.0,13.39,12.79,12.81,1517819145.0,5014273699.0
2020-11-10,12.52,13.24,12.35,13.0,1724813657.0,5090980020.0
2020-11-09,12.66,12.95,12.11,12.52,1644324040.0,4901987590.0
2020-11-08,11.76,13.0,11.53,12.66,1647580702.0,4954958453.0
2020-11-07,12.12,13.38,11.54,11.76,2566987251.0,4603065620.0
2020-11-06,10.99,12.21,10.92,12.12,1475069579.0,4744341015.0
2020-11-05,10.47,11.2,10.11,10.99,1360783363.0,4291961277.0
2020-11-04,10.39,10.63,9.8,10.47,1678488769.0,4089645472.0
2020-11-03,10.8,10.8,10.13,10.39,1696479711.0,4056223428.0
2020-11-02,11.54,11.64,10.79,10.8,1527825758.0,4216557628.0
2020-11-01,11.22,11.57,11.04,11.54,1319631443.0,4505164094.0
2020-10-31,11.1,11.38,10.94,11.22,1447587815.0,4381844695.0
2020-10-30,11.27,11.42,10.79,11.1,1653652915.0,4334092396.0
2020-10-29,11.46,11.77,11.12,11.27,1476177870.0,4387880069.0
2020-10-28,11.97,12.12,11.2,11.46,1236406880.0,4464458198.0
2020-10-27,11.75,12.43,11.54,11.97,1345673430.0,4663923833.0
2020-10-26,12.16,12.43,11.35,11.75,1465017714.0,4575920268.0
2020-10-25,12.73,12.84,12.01,12.16,1292633532.0,4724299098.0
2020-10-24,12.16,12.92,11.99,12.73,1474195506.0,4946328238.0
2020-10-23,11.96,12.24,11.61,12.16,1480801396.0,4725750536.0
2020-10-22,10.79,12.32,10.74,11.94,1543967732.0,4638545711.0
2020-10-21,9.88,11.06,9.87,10.8,1238425755.0,4197693182.0
2020-10-20,10.88,10.9,9.86,9.88,1241598369.0,3837927712.0
2020-10-19,10.89,11.13,10.64,10.89,910617050.0,4229424991.0
2020-10-18,10.64,10.95,10.57,10.88,762577602.0,4227260785.0
2020-10-17,10.61,10.71,10.46,10.65,735511418.0,4138607215.0
2020-10-16,10.75,10.86,10.32,10.62,1066918482.0,4125796634.0
2020-10-15,10.92,10.92,10.52,10.74,1148852514.0,3758213257.0
2020-10-14,10.99,11.29,10.65,10.95,1280567851.0,3832188117.0
2020-10-13,11.43,11.53,10.72,11.0,1460104539.0,3848406730.0
2020-10-12,10.84,11.75,10.71,11.45,1864848583.0,4008518102.0
2020-10-11,10.52,10.97,10.21,10.85,1339565194.0,3796592355.0
2020-10-10,10.39,10.81,10.39,10.52,1370779935.0,3683677566.0
2020-10-09,9.52,10.47,9.37,10.35,1678061807.0,3621415789.0
2020-10-08,8.99,9.62,8.51,9.51,1444612730.0,3328086360.0
2020-10-07,8.78,9.01,8.47,8.96,1011459545.0,3135247607.0
2020-10-06,9.63,9.63,8.68,8.78,1107581245.0,3072745063.0
2020-10-05,9.41,9.7,9.32,9.62,1114063226.0,3368295929.0
2020-10-04,9.31,9.45,9.18,9.4,733335838.0,3291718471.0
2020-10-03,9.22,9.53,9.15,9.3,740099523.0,3256572643.0
2020-10-02,9.64,9.77,8.87,9.22,1575691671.0,3228646739.0
2020-10-01,9.87,10.37,9.45,9.65,1426296389.0,3377466762.0
2020-09-30,10.13,10.13,9.63,9.85,1235486778.0,3447923597.0
2020-09-29,10.3,10.35,9.5,10.12,1656880792.0,3540255427.0
2020-09-28,10.78,11.0,10.3,10.33,1421267282.0,3616745328.0
2020-09-27,10.33,10.94,10.0,10.77,1452956505.0,3769177911.0
2020-09-26,10.72,11.0,10.07,10.34,1705834656.0,3619580604.0
2020-09-25,9.85,11.12,9.47,10.71,2342555820.0,3748977402.0
2020-09-24,7.67,10.35,7.56,9.82,2513427425.0,3436116830.0
2020-09-23,8.74,8.8,7.5,7.7,1571651694.0,2695790565.0
2020-09-22,8.75,9.08,8.67,8.76,959332861.0,3067464620.0
2020-09-21,9.76,9.9,8.62,8.76,1586349748.0,3065979266.0
2020-09-20,10.14,10.58,9.6,9.77,951116672.0,3418842857.0
2020-09-19,10.07,10.49,9.96,10.15,873109762.0,3551547041.0
2020-09-18,10.99,11.15,9.9,10.08,1114418785.0,3528574725.0
2020-09-17,10.76,11.61,10.54,10.99,1259649199.0,3846108077.0
2020-09-16,10.98,11.29,10.57,10.76,1153746184.0,3766635594.0
2020-09-15,12.11,12.21,10.83,10.98,1195560378.0,3842353946.0
2020-09-14,11.97,12.43,11.73,12.12,1249919309.0,4241852740.0
2020-09-13,12.77,13.18,11.85,11.99,3644243871.0,4197741154.0
2020-09-12,12.5,12.77,12.12,12.77,3524744647.0,4469160914.0
2020-09-11,12.55,12.72,12.06,12.5,3397578038.0,4375523796.0
2020-09-10,12.38,13.2,12.3,12.55,4019748249.0,4392959562.0
2020-09-09,11.79,12.62,11.51,12.38,1212963346.0,4332052448.0
2020-09-08,12.44,12.72,11.27,11.79,1393552853.0,4124761105.0
2020-09-07,12.89,13.19,11.42,12.43,1891052112.0,4349302010.0
2020-09-06,10.61,13.17,9.94,12.91,1953997882.0,4519805324.0
2020-09-05,12.51,12.77,9.52,10.61,1906501660.0,3714015162.0
2020-09-04,12.01,12.92,11.27,12.49,1796655505.0,4372503210.0
2020-09-03,14.96,14.98,11.68,12.02,1702199859.0,4205837225.0
2020-09-02,16.12,16.39,14.27,14.9,1440207730.0,5214088927.0
2020-09-01,15.67,16.48,15.34,16.12,1602445973.0,5642522358.0
2020-08-31,16.5,16.92,15.71,15.71,1431004361.0,5497970696.0
2020-08-30,16.53,17.66,16.44,16.47,1833942061.0,5765537479.0
2020-08-29,15.17,16.91,15.02,16.57,1982820767.0,5798477339.0
2020-08-28,14.5,15.44,14.31,15.16,975535521.0,5304621210.0
2020-08-27,15.23,15.49,14.15,14.5,1285283437.0,5074198792.0
2020-08-26,14.23,15.59,14.15,15.25,1323937547.0,5338114257.0
2020-08-25,15.13,15.44,13.76,14.22,1396339667.0,4975883859.0
2020-08-24,15.16,15.81,14.79,15.18,1148602183.0,5314175857.0
2020-08-23,15.91,15.96,14.8,15.17,1286304278.0,5311136484.0
2020-08-22,13.83,16.24,13.83,15.96,1966563137.0,5586067185.0
2020-08-21,16.09,16.11,13.17,13.8,2545002567.0,4830299525.0
2020-08-20,16.22,16.73,15.85,16.09,1441868241.0,5631954095.0
2020-08-19,16.21,17.19,15.11,16.24,2269980597.0,5683994454.0
2020-08-18,16.78,17.66,15.18,16.24,3107415351.0,5684481093.0
2020-08-17,18.8,19.6,16.42,16.71,1851120442.0,5846940697.0
2020-08-16,19.11,19.85,18.68,18.8,1672318397.0,6581464920.0
2020-08-15,16.92,19.58,16.62,19.1,2623596923.0,6684562685.0
2020-08-14,17.35,17.79,16.49,16.93,1797902764.0,5924251352.0
2020-08-13,16.64,18.43,16.21,17.33,3691726917.0,6064100838.0
2020-08-12,13.1,16.75,12.68,16.62,2657494080.0,5817540005.0
2020-08-11,13.46,13.5,12.34,13.11,1621590153.0,4587096666.0
2020-08-10,13.84,13.94,12.88,13.44,1965617198.0,4704362412.0
2020-08-09,12.71,14.36,12.13,13.85,2749237741.0,4848621841.0
2020-08-08,10.08,13.7,9.99,12.69,2483258217.0,4441222522.0
2020-08-07,10.15,10.19,9.4,10.06,1084341900.0,3522177678.0
2020-08-06,9.55,10.17,9.5,10.14,930966731.0,3549089112.0
2020-08-05,9.83,9.85,9.42,9.56,961098081.0,3345570941.0
2020-08-04,9.16,9.93,9.1,9.82,1400412714.0,3437642666.0
2020-08-03,8.27,9.2,8.18,9.16,944680773.0,3207665484.0
2020-08-02,8.31,8.68,7.47,8.27,1281614849.0,2895121578.0
2020-08-01,7.77,8.39,7.65,8.3,757545560.0,2906560598.0
2020-07-31,7.41,7.84,7.41,7.77,674556974.0,2720519335.0
2020-07-30,7.11,7.56,7.05,7.42,605829268.0,2595947041.0
2020-07-29,7.22,7.47,7.03,7.12,577077884.0,2490629028.0
2020-07-28,7.09,7.39,6.92,7.22,592707771.0,2528211158.0
2020-07-27,7.49,7.49,6.58,7.1,921616285.0,2483454084.0
2020-07-26,7.66,7.9,7.33,7.5,693139972.0,2624651695.0
2020-07-25,7.44,7.77,7.41,7.66,567102975.0,2680238239.0
2020-07-24,7.87,7.9,7.41,7.43,560444025.0,2601253469.0
2020-07-23,7.47,8.04,7.42,7.87,726843306.0,2756067002.0
2020-07-22,7.28,7.59,7.09,7.47,641161938.0,2613441300.0
2020-07-21,7.26,7.64,7.06,7.28,685213978.0,2548551887.0
2020-07-20,8.07,8.11,7.24,7.27,674658006.0,2545543980.0
2020-07-19,7.96,8.17,7.81,8.07,555719580.0,2822816495.0
2020-07-18,8.27,8.27,7.79,7.96,733281755.0,2785747920.0
2020-07-17,8.35,8.55,8.22,8.28,688997844.0,2898137543.0
2020-07-16,8.64,8.8,8.05,8.34,1096087198.0,2918197199.0
2020-07-15,8.1,8.74,7.86,8.64,1162846199.0,3025092976.0
2020-07-14,7.17,8.25,7.04,8.1,1180730236.0,2836212758.0
2020-07-13,7.31,8.33,6.93,7.18,1478593081.0,2513801898.0
2020-07-12,6.11,7.32,6.11,7.31,949141174.0,2558214204.0
2020-07-11,6.14,6.24,6.0,6.12,434708823.0,2141890413.0
2020-07-10,6.1,6.18,5.75,6.14,594988189.0,2148466257.0
2020-07-09,6.48,6.48,5.8,6.1,726623133.0,2136508737.0
2020-07-08,5.71,6.51,5.63,6.48,942253863.0,2266503703.0
2020-07-07,5.36,5.86,5.32,5.71,743372951.0,1999485843.0
2020-07-06,4.74,5.39,4.74,5.37,579868604.0,1877768637.0
2020-07-05,4.81,4.84,4.65,4.74,319512653.0,1659759415.0
2020-07-04,4.74,4.85,4.72,4.8,312019710.0,1681595211.0
2020-07-03,4.85,4.91,4.73,4.74,348151084.0,1660458365.0
2020-07-02,4.71,4.91,4.67,4.85,429438118.0,1696316156.0
2020-07-01,4.57,4.74,4.53,4.7,320994716.0,1644389580.0
2020-06-30,4.61,4.67,4.55,4.57,287882848.0,1599216096.0
2020-06-29,4.57,4.65,4.45,4.62,321184231.0,1616275366.0
2020-06-28,4.43,4.63,4.38,4.56,329798147.0,1597219156.0
2020-06-27,4.68,4.7,4.37,4.43,348981374.0,1549293057.0
