Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,0.204974,0.262124,0.204908,0.26077,227689050.0,2346928257.0
2020-12-11,0.217346,0.218201,0.196564,0.205264,81965314.0,1847372954.0
2020-12-10,0.217024,0.232386,0.209527,0.217517,97991287.0,1957654562.0
2020-12-09,0.221604,0.221746,0.186903,0.21736,131625699.0,1956239361.0
2020-12-08,0.236088,0.236651,0.206967,0.222184,129127638.0,1999657881.0
2020-12-07,0.249061,0.254398,0.227201,0.236379,84655957.0,2127408064.0
2020-12-06,0.260507,0.260888,0.234598,0.248957,112451877.0,2240616068.0
2020-12-05,0.242494,0.279076,0.23573,0.260458,222891689.0,2344120571.0
2020-12-04,0.219121,0.271298,0.21667,0.242236,312069648.0,2180120142.0
2020-12-03,0.200497,0.218797,0.199147,0.218797,81621034.0,1969173548.0
2020-12-02,0.189996,0.202719,0.183726,0.200249,48525741.0,1802244548.0
2020-12-01,0.188855,0.19594,0.17322,0.190341,68821689.0,1713067254.0
2020-11-30,0.178407,0.189774,0.174087,0.188862,50857268.0,1699756520.0
2020-11-29,0.180884,0.180884,0.170534,0.17797,47930186.0,1601727677.0
2020-11-28,0.173083,0.187474,0.170171,0.180632,84072893.0,1625683711.0
2020-11-27,0.159087,0.173432,0.156356,0.173014,62360849.0,1557128153.0
2020-11-26,0.181343,0.189215,0.145272,0.158872,143598272.0,1429849799.0
2020-11-25,0.162861,0.198955,0.162861,0.181402,194776209.0,1632614297.0
2020-11-24,0.145166,0.1706,0.145166,0.16278,123912098.0,1465019641.0
2020-11-23,0.128722,0.154587,0.126936,0.145341,58455758.0,1308073055.0
2020-11-22,0.137458,0.141095,0.122335,0.128723,43661465.0,1158506129.0
2020-11-21,0.123401,0.137458,0.123298,0.137458,44867186.0,1237123504.0
2020-11-20,0.114088,0.123649,0.113191,0.123401,36616064.0,1110606560.0
2020-11-19,0.131439,0.131663,0.110269,0.114089,51370733.0,1026802640.0
2020-11-18,0.133894,0.134891,0.123954,0.131442,39805506.0,1182977658.0
2020-11-17,0.134699,0.135399,0.13128,0.133897,34210555.0,1205071771.0
