Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,545.58,573.34,545.25,568.57,8534557897.0,64706942226.0
2020-12-11,559.68,560.38,537.81,545.8,11098819124.0,62108208317.0
2020-12-10,573.5,574.6,549.78,559.68,11672582040.0,63680254165.0
2020-12-09,554.79,577.29,533.0,573.48,15855915840.0,65242758700.0
2020-12-08,591.9,594.75,552.47,554.83,14398919320.0,63113292237.0
2020-12-07,601.8,602.92,585.43,591.84,10720480962.0,67315962016.0
2020-12-06,596.57,606.79,584.41,601.91,11290893016.0,68452719868.0
2020-12-05,569.35,596.6,563.11,596.6,13498010566.0,67840334209.0
2020-12-04,616.72,618.98,569.28,569.35,16337589997.0,64734997135.0
2020-12-03,598.46,622.45,588.35,616.71,16146190946.0,70110808538.0
2020-12-02,587.26,604.02,578.74,598.35,16883292129.0,68015797685.0
2020-12-01,615.07,635.16,571.75,587.32,27178964465.0,66754367842.0
2020-11-30,575.76,615.24,571.54,614.84,20276867833.0,69873714778.0
2020-11-29,538.26,576.6,531.99,575.76,15017517758.0,65424084296.0
2020-11-28,517.6,548.04,508.13,538.23,14770243833.0,61152393529.0
2020-11-27,519.11,530.78,497.24,517.49,16831105703.0,58789344389.0
2020-11-26,570.51,575.64,485.5,518.8,31104004592.0,58930920929.0
2020-11-25,603.9,605.09,559.67,570.69,20088492893.0,64816875593.0
2020-11-24,608.52,621.17,593.84,603.9,23281758100.0,68580780139.0
2020-11-23,558.06,609.99,551.27,608.45,27272302872.0,69089845802.0
2020-11-22,549.49,579.37,514.52,558.07,21967049601.0,63361036975.0
2020-11-21,509.74,550.23,504.24,549.49,20757099184.0,62379287099.0
2020-11-20,471.63,513.61,471.63,509.74,18629943296.0,57860686204.0
2020-11-19,479.48,480.12,465.7,471.63,12473929218.0,53528035617.0
2020-11-18,480.35,492.0,465.83,479.48,17880199224.0,54412825617.0
2020-11-17,464.41,482.23,460.78,480.36,14593057877.0,54505786216.0
2020-11-16,447.56,463.83,445.5,459.94,11441239444.0,52182517297.0
2020-11-15,460.15,460.99,440.25,447.56,10308617165.0,50771836456.0
2020-11-14,474.63,475.16,452.99,460.15,10312037942.0,52193800907.0
2020-11-13,461.01,475.22,457.3,474.63,13191505725.0,53829432990.0
2020-11-12,462.96,467.68,452.07,461.01,12877327234.0,52278353038.0
2020-11-11,449.68,473.58,449.52,462.96,14075403511.0,52493805532.0
2020-11-10,444.17,453.76,439.6,449.68,12090381666.0,50981825542.0
2020-11-09,453.57,457.35,435.16,444.16,13704320630.0,50350406402.0
2020-11-08,435.72,457.78,433.15,453.55,11292383601.0,51408911250.0
2020-11-07,454.72,465.68,428.46,435.71,18873289788.0,49380744878.0
2020-11-06,414.07,456.2,412.98,454.72,16738305610.0,51528636308.0
2020-11-05,402.14,417.53,397.25,414.07,15440711038.0,46916321971.0
2020-11-04,387.6,407.67,377.83,402.14,15126077675.0,45559668259.0
2020-11-03,383.16,389.52,371.31,387.6,12588494762.0,43907159817.0
2020-11-02,396.36,403.24,381.02,383.16,13997574252.0,43398380101.0
