Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,0.027814,0.028764,0.027789,0.028572,599944339.0,2047485925.0
2020-12-11,0.028142,0.028192,0.02728,0.027819,604593707.0,1993470438.0
2020-12-10,0.028709,0.028797,0.027838,0.028146,581956183.0,2016914491.0
2020-12-09,0.027848,0.028847,0.027077,0.02871,888645741.0,2057347633.0
2020-12-08,0.030316,0.030316,0.027628,0.027849,780286048.0,1995637681.0
2020-12-07,0.030919,0.030982,0.02998,0.030317,614032135.0,2172479388.0
2020-12-06,0.030572,0.030991,0.030105,0.030925,716011957.0,2216094907.0
2020-12-05,0.029548,0.030589,0.029267,0.030572,684866342.0,2190796286.0
2020-12-04,0.031643,0.0317,0.029196,0.029553,823071021.0,2117745618.0
2020-12-03,0.031204,0.031907,0.030854,0.031641,673624677.0,2267376429.0
2020-12-02,0.03028,0.031304,0.029912,0.031196,840203817.0,2235487388.0
2020-12-01,0.03232,0.033996,0.029694,0.030277,1616257102.0,2169664591.0
2020-11-30,0.030701,0.032857,0.030358,0.03232,1234758185.0,2316049520.0
2020-11-29,0.030438,0.031177,0.029642,0.030699,893286078.0,2199852494.0
2020-11-28,0.029367,0.031156,0.028717,0.030435,1124450214.0,2180939690.0
2020-11-27,0.029398,0.030166,0.028261,0.029363,1242017588.0,2104138492.0
2020-11-26,0.033098,0.033812,0.027475,0.029387,2248209134.0,2105884238.0
2020-11-25,0.035077,0.037284,0.032075,0.033106,2303332553.0,2372350004.0
2020-11-24,0.031679,0.038744,0.031555,0.035067,2856540897.0,2512910049.0
2020-11-23,0.028699,0.031674,0.028293,0.031673,1693209297.0,2269642628.0
2020-11-22,0.030335,0.030671,0.027479,0.028699,1963692552.0,2056592721.0
2020-11-21,0.02627,0.030479,0.026205,0.030335,1971506924.0,2173777674.0
2020-11-20,0.025802,0.026523,0.025796,0.02627,910566105.0,1882466719.0
2020-11-19,0.026822,0.026874,0.025371,0.025802,843848867.0,1848985018.0
2020-11-18,0.026468,0.027077,0.025252,0.026822,1224808279.0,1922056746.0
2020-11-17,0.02587,0.026621,0.025754,0.026468,892680900.0,1896714726.0
2020-11-16,0.025409,0.025838,0.025233,0.025596,643168772.0,1834207802.0
2020-11-15,0.025191,0.025854,0.025073,0.025409,726438273.0,1820797810.0
2020-11-14,0.025405,0.025425,0.025093,0.025191,695044806.0,1805145010.0
2020-11-13,0.024937,0.025525,0.02488,0.025405,653191359.0,1820495859.0
2020-11-12,0.025054,0.025218,0.024877,0.024937,719747327.0,1786985062.0
2020-11-11,0.024872,0.025333,0.024872,0.025054,711256095.0,1795357310.0
2020-11-10,0.024812,0.025289,0.024706,0.024872,707887433.0,1782290242.0
2020-11-09,0.025365,0.025633,0.024782,0.024811,835050949.0,1777939805.0
2020-11-08,0.02492,0.025649,0.024694,0.025365,636276784.0,1817653512.0
2020-11-07,0.026065,0.02663,0.024533,0.02492,952470345.0,1785736106.0
2020-11-06,0.024961,0.026065,0.02492,0.026065,876674156.0,1867819426.0
2020-11-05,0.024197,0.025042,0.02409,0.024962,809301894.0,1788733375.0
2020-11-04,0.024416,0.024416,0.023801,0.024196,858371148.0,1733911419.0
2020-11-03,0.024433,0.02447,0.023169,0.024416,953218599.0,1749658351.0
2020-11-02,0.025727,0.025892,0.02438,0.024433,909137322.0,1750863168.0
2020-11-01,0.025821,0.02593,0.025485,0.025727,740672528.0,1843620256.0
2020-10-31,0.025626,0.026556,0.025427,0.02577,934899053.0,1846637656.0
2020-10-30,0.02649,0.026576,0.025321,0.025626,910069440.0,1836361166.0
2020-10-29,0.026852,0.027188,0.026358,0.02649,942916978.0,1898241742.0
2020-10-28,0.026961,0.027087,0.026551,0.026852,883960291.0,1924208858.0
2020-10-27,0.026762,0.027142,0.026611,0.026961,1010406631.0,1932042080.0
2020-10-26,0.026935,0.027377,0.026425,0.026762,1088998065.0,1917720635.0
2020-10-25,0.02705,0.027199,0.026645,0.026935,915475862.0,1930173253.0
2020-10-24,0.026691,0.027247,0.026573,0.02705,923427611.0,1938428785.0
2020-10-23,0.027053,0.027059,0.02632,0.026691,1048646249.0,1912679979.0
2020-10-22,0.026713,0.027329,0.026703,0.027042,1141772374.0,1937797243.0
2020-10-21,0.026007,0.027134,0.025971,0.026721,1217457321.0,1914791472.0
2020-10-20,0.025861,0.028631,0.02529,0.026012,1752177516.0,1863987597.0
2020-10-19,0.025951,0.026098,0.025658,0.025861,970398128.0,1853158417.0
2020-10-18,0.025754,0.025978,0.025667,0.025936,741735960.0,1858579869.0
2020-10-17,0.025743,0.026034,0.025562,0.025746,783849476.0,1844971633.0
2020-10-16,0.026525,0.026569,0.02533,0.025739,1076494690.0,1844452032.0
2020-10-15,0.026804,0.026804,0.026327,0.026536,1067720847.0,1901594818.0
2020-10-14,0.026819,0.02716,0.026413,0.026827,1135266066.0,1922428037.0
2020-10-13,0.027086,0.027275,0.026547,0.026788,1240301674.0,1919617826.0
2020-10-12,0.026441,0.027803,0.025697,0.027082,1422722056.0,1940700716.0
2020-10-11,0.02636,0.026808,0.026094,0.026467,1114292998.0,1896631753.0
2020-10-10,0.026202,0.027278,0.026195,0.02637,1436858808.0,1889672225.0
2020-10-09,0.025693,0.026458,0.025576,0.026223,1362210231.0,1879134843.0
2020-10-08,0.025483,0.025857,0.025042,0.025671,1188282586.0,1839546793.0
2020-10-07,0.025544,0.025645,0.025015,0.025477,1067116403.0,1825672963.0
2020-10-06,0.026425,0.026461,0.025305,0.02558,1299750870.0,1833073189.0
2020-10-05,0.026387,0.02666,0.025886,0.026443,1179082884.0,1894882101.0
2020-10-04,0.027179,0.027353,0.025837,0.026361,1304049000.0,1889047250.0
2020-10-03,0.025897,0.028425,0.025645,0.027092,1528316308.0,1941389684.0
2020-10-02,0.025736,0.026049,0.02411,0.025922,1262331645.0,1857532430.0
2020-10-01,0.026064,0.026548,0.025188,0.025596,1221295537.0,1834187059.0
2020-09-30,0.026325,0.026429,0.025712,0.026059,1147697016.0,1867372298.0
2020-09-29,0.026259,0.026393,0.025565,0.0263,1138184315.0,1884650072.0
2020-09-28,0.026604,0.027093,0.026274,0.026309,1564086685.0,1885290202.0
2020-09-27,0.027207,0.027483,0.026091,0.026589,1707161011.0,1905348243.0
2020-09-26,0.027155,0.028876,0.027111,0.027251,1742286537.0,1952823568.0
2020-09-25,0.026238,0.0274,0.025571,0.027151,1950671093.0,1945600040.0
2020-09-24,0.024864,0.026193,0.024539,0.026193,1082136389.0,1876968961.0
2020-09-23,0.024994,0.026077,0.024711,0.024859,2221896912.0,1781397146.0
2020-09-22,0.025005,0.025514,0.024675,0.025044,1948134714.0,1794637800.0
2020-09-21,0.026981,0.027521,0.024691,0.024999,3377753024.0,1791400336.0
2020-09-20,0.027763,0.027794,0.026523,0.026965,2760499756.0,1932299457.0
2020-09-19,0.029045,0.029295,0.027657,0.027782,2897389598.0,1990864173.0
2020-09-18,0.028104,0.029801,0.027875,0.029089,3523907328.0,2084506925.0
2020-09-17,0.026453,0.028395,0.026427,0.028104,2801521792.0,2013917883.0
2020-09-16,0.027909,0.029203,0.026238,0.026494,3463620542.0,1898583126.0
2020-09-15,0.030403,0.030431,0.027701,0.027901,3079049243.0,1999410434.0
2020-09-14,0.030592,0.031586,0.030155,0.030452,2776982500.0,2182192408.0
2020-09-13,0.032749,0.03275,0.029659,0.030583,2416138366.0,2191568821.0
2020-09-12,0.033548,0.033552,0.032248,0.032749,2301374668.0,2346750749.0
2020-09-11,0.033077,0.034409,0.031431,0.033509,2419591539.0,2401224116.0
2020-09-10,0.034059,0.035182,0.032726,0.033077,2259381039.0,2370301924.0
2020-09-09,0.03511,0.035873,0.033793,0.034025,2334257138.0,2438215516.0
2020-09-08,0.032329,0.03543,0.03176,0.035001,3157190949.0,2508169833.0
2020-09-07,0.031476,0.032552,0.028658,0.032276,2401424526.0,2312921523.0
2020-09-06,0.029997,0.032374,0.028171,0.031523,3126107645.0,2258950780.0
2020-09-05,0.035749,0.036656,0.028109,0.029997,3631605784.0,2149577199.0
2020-09-04,0.041029,0.044489,0.032994,0.03562,5318358918.0,2552524883.0
2020-09-03,0.034544,0.048876,0.034292,0.041192,6184131222.0,2951805244.0
2020-09-02,0.034617,0.038077,0.032415,0.034451,4058694827.0,2468726553.0
2020-09-01,0.029277,0.035672,0.02838,0.034553,2177409507.0,2476052862.0
2020-08-31,0.026991,0.029708,0.025909,0.029298,1169223528.0,2099451707.0
2020-08-30,0.025001,0.02814,0.024989,0.026952,907256920.0,1931397452.0
2020-08-29,0.023985,0.025196,0.023799,0.025038,548310637.0,1794220106.0
2020-08-28,0.023108,0.024252,0.022803,0.023981,563814715.0,1718466141.0
2020-08-27,0.023746,0.02447,0.022343,0.0231,656715523.0,1655338315.0
2020-08-26,0.023123,0.023922,0.022883,0.023747,584388284.0,1701684374.0
2020-08-25,0.025164,0.025407,0.022464,0.023132,660656192.0,1657663560.0
2020-08-24,0.024452,0.025611,0.024049,0.025163,562364027.0,1803169492.0
2020-08-23,0.025142,0.025232,0.023842,0.024465,559951529.0,1753164209.0
2020-08-22,0.024349,0.025452,0.023548,0.025163,871932825.0,1803205764.0
2020-08-21,0.027541,0.027729,0.024234,0.024343,901541907.0,1744436133.0
2020-08-20,0.026519,0.027719,0.02645,0.027545,925062330.0,1973861703.0
2020-08-19,0.028778,0.028925,0.025642,0.026537,1532284594.0,1901641329.0
2020-08-18,0.030332,0.032394,0.028507,0.028803,1708225951.0,2063994280.0
2020-08-17,0.028207,0.031145,0.026942,0.030388,1342730121.0,2177601319.0
2020-08-16,0.025212,0.028444,0.024295,0.028207,1128912475.0,2021333619.0
2020-08-15,0.024739,0.025508,0.023756,0.025201,836345615.0,1805876956.0
2020-08-14,0.022628,0.025748,0.022628,0.02475,1078753054.0,1773606735.0
2020-08-13,0.020389,0.023213,0.019705,0.022606,771131136.0,1619905327.0
2020-08-12,0.020161,0.020664,0.019191,0.020391,477942729.0,1461236236.0
2020-08-11,0.021514,0.021522,0.019653,0.020157,806259540.0,1444462750.0
2020-08-10,0.020496,0.021771,0.020496,0.021517,596055237.0,1541918650.0
2020-08-09,0.020448,0.020634,0.020205,0.020473,383920387.0,1467055935.0
