Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,72.08,77.52,72.08,76.71,2966684035.0,5068283240.0
2020-12-11,74.83,74.85,70.23,72.09,3761860017.0,4762563166.0
2020-12-10,77.41,77.58,73.47,74.83,3007098971.0,4943203900.0
2020-12-09,76.74,78.1,72.62,77.41,4239672634.0,5113163503.0
2020-12-08,83.62,84.71,75.98,76.75,4230876095.0,5068820612.0
2020-12-07,83.55,86.73,81.93,83.62,4312326196.0,5522332008.0
2020-12-06,83.12,85.04,80.6,83.56,3454805957.0,5517178551.0
2020-12-05,80.01,84.17,79.15,83.12,4517680975.0,5487737378.0
2020-12-04,89.1,89.6,78.77,80.02,5444117736.0,5282368906.0
2020-12-03,88.88,91.12,85.81,89.1,6014261404.0,5881242130.0
2020-12-02,85.44,90.11,83.4,88.86,7713268210.0,5864578837.0
2020-12-01,87.58,92.28,81.31,85.44,9818290618.0,5638149878.0
2020-11-30,79.21,88.13,77.07,87.57,6812463307.0,5778622122.0
2020-11-29,72.7,80.78,71.73,79.24,5314384738.0,5227758602.0
2020-11-28,69.13,74.83,68.55,72.69,4784394518.0,4795595984.0
2020-11-27,70.88,73.46,65.95,69.12,5874999214.0,4559668328.0
2020-11-26,81.88,83.07,65.23,70.87,8965913476.0,4674081621.0
2020-11-25,89.2,90.41,79.86,81.88,6033297331.0,5400000837.0
2020-11-24,89.03,93.58,86.83,89.21,7748145325.0,5882460030.0
2020-11-23,82.7,90.16,81.19,89.04,7198913664.0,5870816229.0
2020-11-22,86.41,87.64,79.65,82.7,6285046852.0,5452444708.0
2020-11-21,82.58,88.0,80.65,86.41,6565673514.0,5696028601.0
2020-11-20,81.68,85.17,80.27,82.58,6264878329.0,5444339642.0
2020-11-19,73.7,83.21,71.8,81.68,6615851204.0,5384471724.0
2020-11-18,75.85,76.45,69.63,73.69,6120728271.0,4857299278.0
2020-11-17,73.5,76.43,71.23,75.85,5781117491.0,4998932617.0
2020-11-16,62.28,72.0,62.17,71.33,5089779254.0,4700142572.0
2020-11-15,63.77,64.15,61.23,62.28,2565763410.0,4103576321.0
2020-11-14,65.46,65.84,61.93,63.77,2879859655.0,4201549257.0
2020-11-13,60.36,66.02,60.31,65.46,4324936978.0,4311996164.0
