Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,4.62,4.8,4.62,4.74,282782417.0,4205469340.0
2020-12-11,4.8,4.8,4.55,4.62,366039075.0,4098623898.0
2020-12-10,4.86,4.91,4.75,4.8,299121449.0,4253982261.0
2020-12-09,4.73,4.94,4.63,4.86,477599466.0,4309886799.0
2020-12-08,5.06,5.07,4.71,4.73,398505417.0,4194935616.0
2020-12-07,5.13,5.15,5.02,5.06,242900962.0,4483466813.0
2020-12-06,5.19,5.2,5.01,5.14,299285627.0,4547051376.0
2020-12-05,5.03,5.19,4.89,5.19,408952852.0,4592436805.0
2020-12-04,5.41,5.43,4.97,5.03,422944392.0,4453957346.0
2020-12-03,5.46,5.56,5.34,5.41,354593131.0,4783391737.0
2020-12-02,5.09,5.53,5.03,5.46,607216780.0,4829741979.0
2020-12-01,5.38,5.53,5.02,5.09,777715514.0,4497421389.0
2020-11-30,5.19,5.44,5.15,5.38,649773393.0,4741608246.0
2020-11-29,4.9,5.2,4.81,5.19,451787954.0,4576446420.0
2020-11-28,4.78,4.94,4.68,4.9,415083876.0,4319975484.0
2020-11-27,4.81,5.07,4.52,4.78,864684858.0,4215509966.0
2020-11-26,5.31,5.37,4.46,4.8,1433368625.0,4234022691.0
2020-11-25,5.73,5.82,5.18,5.31,1011116414.0,4677929616.0
2020-11-24,5.91,6.08,5.62,5.73,1113438978.0,5046372835.0
2020-11-23,5.48,5.94,5.42,5.91,997956277.0,5201454893.0
2020-11-22,5.75,5.83,5.22,5.48,1048639986.0,4825834134.0
2020-11-21,5.23,5.81,5.14,5.75,1022750932.0,5060561832.0
2020-11-20,4.76,5.46,4.75,5.23,1027776286.0,4602682307.0
2020-11-19,4.68,4.85,4.55,4.76,551607999.0,4182706632.0
2020-11-18,4.84,4.93,4.53,4.68,671452168.0,4113722908.0
2020-11-17,4.61,4.91,4.57,4.84,675069949.0,4257774182.0
2020-11-16,4.38,4.59,4.35,4.49,445672648.0,3941257093.0
2020-11-15,4.47,4.49,4.31,4.38,325439058.0,3847021230.0
2020-11-14,4.54,4.55,4.37,4.47,331350627.0,3921402330.0
2020-11-13,4.4,4.59,4.37,4.54,342519103.0,3985281156.0
2020-11-12,4.46,4.47,4.32,4.4,367161907.0,3860331526.0
2020-11-11,4.42,4.62,4.42,4.46,404513890.0,3910436471.0
2020-11-10,4.35,4.5,4.31,4.42,379322634.0,3764453584.0
2020-11-09,4.37,4.46,4.25,4.35,396903280.0,3706261141.0
2020-11-08,4.24,4.43,4.14,4.37,393903990.0,3727855176.0
2020-11-07,4.58,4.84,4.11,4.24,724809168.0,3616897050.0
2020-11-06,4.24,4.63,4.21,4.58,463200956.0,3904829692.0
2020-11-05,4.1,4.3,4.03,4.24,375265287.0,3611129170.0
2020-11-04,4.03,4.15,3.89,4.1,836536272.0,3494221350.0
2020-11-03,4.03,4.07,3.89,4.03,413471121.0,3432306462.0
2020-11-02,4.23,4.26,3.99,4.03,503474044.0,3436367636.0
2020-11-01,4.18,4.23,4.12,4.23,302861124.0,3602960876.0
2020-10-31,4.09,4.27,4.07,4.18,318678917.0,3565574466.0
2020-10-30,4.05,4.16,3.94,4.09,586577443.0,3485720265.0
2020-10-29,4.37,4.4,3.88,4.05,686597329.0,3456075113.0
2020-10-28,4.68,4.77,4.26,4.37,649971738.0,3721889676.0
2020-10-27,4.73,4.93,4.66,4.68,820401909.0,3993760877.0
2020-10-26,4.34,4.74,4.3,4.73,722990810.0,4030479550.0
2020-10-25,4.36,4.45,4.27,4.34,339106539.0,3696424432.0
2020-10-24,4.27,4.43,4.24,4.36,310306552.0,3713574041.0
2020-10-23,4.27,4.47,4.2,4.27,461816708.0,3638119606.0
2020-10-22,4.14,4.33,4.13,4.27,367309225.0,3639910112.0
2020-10-21,3.91,4.25,3.91,4.14,458018407.0,3530916223.0
2020-10-20,3.99,4.14,3.88,3.91,502694693.0,3334145297.0
2020-10-19,4.11,4.11,3.96,3.99,249983725.0,3402569424.0
2020-10-18,3.97,4.12,3.96,4.1,204108300.0,3499821171.0
2020-10-17,3.92,3.98,3.87,3.97,206453738.0,3382668461.0
2020-10-16,4.1,4.16,3.84,3.91,443295515.0,3333451300.0
2020-10-15,4.19,4.19,4.03,4.1,450623089.0,3493136395.0
2020-10-14,4.26,4.36,4.09,4.2,520198619.0,3580365245.0
2020-10-13,4.32,4.34,4.16,4.25,420659947.0,3623241282.0
2020-10-12,4.26,4.44,4.21,4.32,489608532.0,3683393733.0
2020-10-11,4.26,4.33,4.18,4.26,388098955.0,3634122785.0
2020-10-10,4.26,4.48,4.24,4.25,492038159.0,3626272562.0
2020-10-09,4.11,4.35,4.02,4.26,491506582.0,3634383221.0
2020-10-08,3.86,4.16,3.66,4.1,614223111.0,3498108576.0
2020-10-07,3.75,3.88,3.62,3.86,629063456.0,3290194893.0
2020-10-06,4.17,4.18,3.65,3.76,662270711.0,3202682677.0
2020-10-05,4.18,4.23,4.12,4.17,332264664.0,3557842898.0
2020-10-04,4.07,4.2,4.02,4.17,286356969.0,3558875853.0
2020-10-03,4.13,4.13,4.04,4.07,361964763.0,3470315784.0
2020-10-02,4.34,4.36,3.93,4.12,554916297.0,3515619342.0
2020-10-01,4.35,4.58,4.26,4.34,445143708.0,3703757887.0
2020-09-30,4.5,4.5,4.25,4.35,378446620.0,3708830409.0
2020-09-29,4.42,4.6,4.36,4.5,508965929.0,3837300168.0
2020-09-28,4.3,4.58,4.27,4.4,543507456.0,3749825721.0
2020-09-27,4.34,4.36,4.16,4.31,316361927.0,3675151412.0
2020-09-26,4.42,4.46,4.24,4.35,329745176.0,3707023756.0
2020-09-25,4.38,4.53,4.26,4.42,425191119.0,3769516671.0
2020-09-24,4.02,4.4,3.99,4.38,437573446.0,3736279268.0
2020-09-23,4.17,4.32,3.97,4.03,557062766.0,3437376886.0
2020-09-22,4.09,4.21,3.92,4.17,673117344.0,3559346335.0
2020-09-21,4.67,4.7,3.95,4.09,1096736657.0,3491249077.0
2020-09-20,4.93,4.97,4.42,4.67,798507891.0,3983952932.0
2020-09-19,5.25,5.26,4.82,4.93,605268040.0,4199640091.0
2020-09-18,5.34,5.46,5.11,5.25,683398180.0,4472788249.0
