Date,Open,High,Low,Close,Volume,Market Cap
2020-12-12,2.69,2.79,2.69,2.77,1399303916.0,2598080255.0
2020-12-11,2.74,2.74,2.65,2.69,1803556567.0,2528740763.0
2020-12-10,2.81,2.81,2.71,2.74,1940078230.0,2573991628.0
2020-12-09,2.8,2.83,2.68,2.81,2579251503.0,2636765760.0
2020-12-08,2.95,2.96,2.76,2.8,2365114721.0,2626114450.0
2020-12-07,3.0,3.0,2.91,2.95,2064769642.0,2769947878.0
2020-12-06,3.01,3.03,2.91,3.0,2074582343.0,2811548431.0
2020-12-05,2.86,3.01,2.84,3.01,2326441653.0,2825509289.0
2020-12-04,3.08,3.15,2.81,2.86,2846067694.0,2679882322.0
2020-12-03,3.06,3.13,3.01,3.08,2584440174.0,2892703960.0
2020-12-02,3.0,3.08,2.98,3.06,3242253922.0,2870279832.0
2020-12-01,3.26,3.34,2.97,3.0,4774952881.0,2810380383.0
2020-11-30,3.03,3.27,3.0,3.26,4432883345.0,3057816919.0
2020-11-29,3.0,3.07,2.91,3.03,3262198687.0,2845455532.0
2020-11-28,2.87,3.06,2.83,3.0,3470107604.0,2813640806.0
2020-11-27,2.94,3.03,2.78,2.87,4033264774.0,2693719644.0
2020-11-26,3.44,3.52,2.73,2.94,6645129607.0,2758932483.0
2020-11-25,3.59,3.84,3.36,3.44,5072915682.0,3226433819.0
2020-11-24,3.38,3.72,3.36,3.59,5444227824.0,3363824891.0
2020-11-23,3.05,3.38,2.99,3.38,5261090646.0,3172807573.0
2020-11-22,3.22,3.28,2.93,3.05,5908822504.0,2862279201.0
2020-11-21,2.78,3.23,2.72,3.22,5783285268.0,3016585578.0
2020-11-20,2.64,2.82,2.64,2.78,2677293616.0,2603285515.0
2020-11-19,2.64,2.69,2.57,2.64,2201334827.0,2472525150.0
2020-11-18,2.71,2.73,2.55,2.64,2865530498.0,2477690961.0
2020-11-17,2.62,2.74,2.61,2.71,2577705365.0,2543550955.0
2020-11-16,2.5,2.6,2.49,2.58,1719068544.0,2415570623.0
2020-11-15,2.54,2.55,2.47,2.5,1497817036.0,2342491069.0
2020-11-14,2.6,2.61,2.51,2.54,1735421983.0,2381570898.0
2020-11-13,2.46,2.63,2.46,2.6,2136150107.0,2435759392.0
2020-11-12,2.5,2.5,2.44,2.46,1745052808.0,2308446659.0
2020-11-11,2.5,2.53,2.5,2.5,1593529247.0,2347344374.0
2020-11-10,2.5,2.53,2.48,2.5,1549695876.0,2343581112.0
2020-11-09,2.54,2.56,2.46,2.5,1646166626.0,2343491329.0
2020-11-08,2.5,2.56,2.49,2.54,1491096122.0,2381133945.0
2020-11-07,2.54,2.62,2.46,2.5,2649882906.0,2343367105.0
2020-11-06,2.44,2.54,2.44,2.54,2386972055.0,2376792086.0
2020-11-05,2.35,2.48,2.35,2.44,2271829364.0,2291543143.0
2020-11-04,2.36,2.37,2.3,2.35,2195202386.0,2202470552.0
2020-11-03,2.43,2.44,2.27,2.36,2498279853.0,2213373690.0
2020-11-02,2.51,2.54,2.42,2.43,2430305527.0,2278562236.0
2020-11-01,2.52,2.53,2.47,2.51,1756289005.0,2354568951.0
2020-10-31,2.51,2.55,2.5,2.52,2006225261.0,2363171248.0
2020-10-30,2.63,2.64,2.47,2.51,2671602807.0,2348502617.0
2020-10-29,2.65,2.67,2.6,2.63,2175668623.0,2463195826.0
2020-10-28,2.66,2.73,2.62,2.65,2743657228.0,2488148548.0
2020-10-27,2.63,2.7,2.62,2.66,2138232762.0,2496970964.0
2020-10-26,2.69,2.74,2.6,2.63,2505786846.0,2463535758.0
2020-10-25,2.65,2.73,2.61,2.69,2188265619.0,2525181403.0
2020-10-24,2.64,2.67,2.62,2.65,1875278671.0,2483750658.0
2020-10-23,2.68,2.69,2.6,2.64,2011457715.0,2476407545.0
2020-10-22,2.62,2.71,2.62,2.68,2427725404.0,2506816936.0
2020-10-21,2.54,2.66,2.53,2.62,2254602641.0,2457847765.0
2020-10-20,2.59,2.59,2.51,2.54,1584176156.0,2379039165.0
2020-10-19,2.56,2.62,2.53,2.59,1633896016.0,2427088716.0
2020-10-18,2.53,2.56,2.53,2.56,1564431085.0,2395309240.0
2020-10-17,2.55,2.55,2.51,2.54,1735782880.0,2375264849.0
2020-10-16,2.6,2.62,2.51,2.54,2184245041.0,2383052735.0
2020-10-15,2.61,2.63,2.59,2.6,1667201179.0,2433476007.0
2020-10-14,2.65,2.66,2.6,2.61,1826338183.0,2449122021.0
2020-10-13,2.65,2.67,2.62,2.65,1941483049.0,2479399041.0
2020-10-12,2.66,2.69,2.62,2.65,2401757250.0,2484329322.0
2020-10-11,2.65,2.69,2.64,2.67,1939650803.0,2496606233.0
2020-10-10,2.64,2.72,2.64,2.65,2228390630.0,2483256494.0
2020-10-09,2.61,2.66,2.59,2.65,2196491316.0,2477976350.0
2020-10-08,2.65,2.65,2.55,2.61,2628172226.0,2444532241.0
2020-10-07,2.7,2.7,2.62,2.65,3073509385.0,2478528049.0
2020-10-06,2.53,2.91,2.49,2.69,5184280399.0,2522487805.0
2020-10-05,2.53,2.54,2.5,2.53,1865500474.0,2368816989.0
2020-10-04,2.49,2.54,2.48,2.53,1980127209.0,2365981207.0
2020-10-03,2.49,2.51,2.47,2.49,1694644472.0,2330097680.0
2020-10-02,2.55,2.56,2.45,2.49,2145307868.0,2328983150.0
2020-10-01,2.59,2.62,2.5,2.55,2100605274.0,2386714667.0
2020-09-30,2.6,2.6,2.57,2.59,1911892022.0,2422275932.0
2020-09-29,2.57,2.61,2.57,2.6,1882935485.0,2438926414.0
2020-09-28,2.6,2.63,2.57,2.57,2153226123.0,2410119710.0
2020-09-27,2.58,2.6,2.54,2.59,1939127136.0,2428974533.0
2020-09-26,2.55,2.6,2.52,2.58,1948892299.0,2415951610.0
2020-09-25,2.54,2.56,2.48,2.55,2151524974.0,2388634082.0
2020-09-24,2.45,2.55,2.44,2.54,2342358485.0,2378299025.0
2020-09-23,2.58,2.58,2.42,2.45,2088051089.0,2293273120.0
2020-09-22,2.51,2.59,2.51,2.57,1601210582.0,2409670707.0
2020-09-21,2.68,2.69,2.51,2.51,1987577753.0,2354507147.0
2020-09-20,2.71,2.71,2.64,2.67,1494188483.0,2502855509.0
2020-09-19,2.69,2.73,2.69,2.71,1504818954.0,2535003469.0
2020-09-18,2.73,2.75,2.67,2.7,1610862383.0,2524420557.0
2020-09-17,2.72,2.77,2.7,2.73,1859195680.0,2557970475.0
2020-09-16,2.71,2.75,2.62,2.72,2198598029.0,2546007603.0
2020-09-15,2.74,2.78,2.71,2.71,1860615702.0,2537382951.0
2020-09-14,2.72,2.78,2.7,2.74,1977781254.0,2563363000.0
2020-09-13,2.81,2.83,2.68,2.72,1956722067.0,2545692153.0
2020-09-12,2.79,2.83,2.77,2.81,1684800439.0,2629467997.0
2020-09-11,2.78,2.82,2.72,2.79,1952044646.0,2610292910.0
2020-09-10,2.76,2.84,2.76,2.78,2215922130.0,2604086812.0
2020-09-09,2.76,2.81,2.71,2.76,1910271632.0,2581374178.0
2020-09-08,2.85,2.86,2.7,2.76,2652161786.0,2581615515.0
2020-09-07,2.91,2.94,2.69,2.85,3096956227.0,2670514134.0
2020-09-06,2.93,3.01,2.84,2.91,3139720799.0,2725257761.0
2020-09-05,3.01,3.15,2.82,2.93,5652060836.0,2745288527.0
2020-09-04,2.64,3.21,2.63,3.01,5253038602.0,2820774273.0
2020-09-03,3.1,3.15,2.61,2.64,3101892961.0,2473230868.0
2020-09-02,3.48,3.5,3.01,3.1,3355126447.0,2901624876.0
2020-09-01,3.22,3.53,3.19,3.48,2683850445.0,3255148211.0
2020-08-31,3.27,3.3,3.21,3.23,1818966406.0,3018184515.0
2020-08-30,3.14,3.27,3.14,3.27,1877220419.0,3056250510.0
2020-08-29,3.12,3.2,3.09,3.14,1655796056.0,2935957996.0
2020-08-28,2.98,3.17,2.95,3.12,1997932349.0,2919465314.0
2020-08-27,3.12,3.15,2.9,2.98,2212925741.0,2786890130.0
2020-08-26,3.13,3.16,3.07,3.13,1929872365.0,2923938315.0
2020-08-25,3.39,3.39,3.05,3.14,2496895800.0,2936105592.0
2020-08-24,3.33,3.41,3.3,3.39,1971274605.0,3171834505.0
2020-08-23,3.36,3.38,3.25,3.33,1814438208.0,3110701509.0
2020-08-22,3.26,3.37,3.2,3.37,2362958020.0,3151627361.0
2020-08-21,3.44,3.61,3.26,3.27,3522494003.0,3054773368.0
2020-08-20,3.35,3.45,3.35,3.44,2367650770.0,3218091664.0
2020-08-19,3.59,3.63,3.25,3.35,3371693790.0,3130546753.0
2020-08-18,3.77,3.81,3.57,3.59,2998442461.0,3356576444.0
2020-08-17,3.88,3.91,3.76,3.77,3771695207.0,3527150319.0
2020-08-16,3.73,3.92,3.56,3.88,4778869235.0,3627677086.0
2020-08-15,3.25,3.83,3.25,3.73,5115996830.0,3492499476.0
2020-08-14,3.18,3.3,3.13,3.25,2929453441.0,3043959416.0
2020-08-13,3.06,3.19,2.94,3.18,2530322368.0,2974829392.0
