constructorResultsId,raceId,constructorId,points,status
1,18,1,14,NULL
2,18,2,8,NULL
3,18,3,9,NULL
4,18,4,5,NULL
5,18,5,2,NULL
6,18,6,1,NULL
7,18,7,0,NULL
8,18,8,0,NULL
9,18,9,0,NULL
10,18,10,0,NULL
11,18,11,0,NULL
12,19,6,10,NULL
13,19,2,11,NULL
14,19,1,10,NULL
15,19,7,5,NULL
16,19,9,2,NULL
17,19,4,1,NULL
18,19,11,0,NULL
19,19,10,0,NULL
20,19,3,0,NULL
21,19,8,0,NULL
22,19,5,0,NULL
23,20,6,18,NULL
24,20,2,11,NULL
25,20,1,4,NULL
26,20,7,3,NULL
27,20,9,2,NULL
28,20,3,1,NULL
29,20,4,0,NULL
30,20,11,0,NULL
31,20,10,0,NULL
32,20,5,0,NULL
33,20,8,0,NULL
34,21,6,18,NULL
35,21,1,6,NULL
36,21,2,5,NULL
37,21,9,4,NULL
38,21,11,3,NULL
39,21,3,2,NULL
40,21,7,1,NULL
41,21,10,0,NULL
42,21,8,0,NULL
43,21,4,0,NULL
44,21,5,0,NULL
45,22,6,16,NULL
46,22,1,8,NULL
47,22,2,9,NULL
48,22,4,3,NULL
49,22,9,2,NULL
50,22,3,1,NULL
51,22,7,0,NULL
52,22,11,0,NULL
53,22,10,0,NULL
54,22,5,0,NULL
55,23,1,11,NULL
56,23,2,8,NULL
57,23,6,6,NULL
58,23,9,5,NULL
59,23,5,4,NULL
60,23,11,3,NULL
61,23,3,2,NULL
62,23,4,0,NULL
63,23,7,0,NULL
64,23,10,0,NULL
65,24,2,18,NULL
66,24,9,6,NULL
67,24,7,8,NULL
68,24,6,4,NULL
69,24,11,2,NULL
70,24,5,1,NULL
71,24,1,0,NULL
72,24,3,0,NULL
73,24,10,0,NULL
74,24,4,0,NULL
75,25,6,18,NULL
76,25,7,6,NULL
77,25,1,5,NULL
78,25,2,4,NULL
79,25,9,3,NULL
80,25,4,3,NULL
81,25,5,0,NULL
82,25,11,0,NULL
83,25,3,0,NULL
84,25,10,0,NULL
85,26,1,14,NULL
86,26,2,8,NULL
87,26,11,6,NULL
88,26,6,5,NULL
89,26,4,3,NULL
90,26,7,2,NULL
91,26,3,1,NULL
92,26,9,0,NULL
93,26,5,0,NULL
94,26,10,0,NULL
95,27,1,14,NULL
96,27,4,8,NULL
97,27,6,9,NULL
98,27,2,7,NULL
99,27,5,1,NULL
100,27,7,0,NULL
101,27,3,0,NULL
102,27,9,0,NULL
103,27,10,0,NULL
104,27,11,0,NULL
105,28,1,14,NULL
106,28,7,10,NULL
107,28,6,6,NULL
108,28,4,8,NULL
109,28,2,1,NULL
110,28,9,0,NULL
111,28,11,0,NULL
112,28,3,0,NULL
113,28,10,0,NULL
114,28,5,0,NULL
115,29,6,10,NULL
116,29,1,13,NULL
117,29,2,6,NULL
118,29,7,6,NULL
119,29,5,3,NULL
120,29,3,1,NULL
121,29,4,0,NULL
122,29,9,0,NULL
123,29,11,0,NULL
124,29,10,0,NULL
125,30,6,10,NULL
126,30,2,11,NULL
127,30,1,6,NULL
128,30,4,5,NULL
129,30,5,6,NULL
130,30,9,1,NULL
131,30,7,0,NULL
132,30,3,0,NULL
133,30,10,0,NULL
134,30,11,0,NULL
135,31,5,10,NULL
136,31,1,10,NULL
137,31,2,10,NULL
138,31,4,5,NULL
139,31,6,3,NULL
140,31,9,1,NULL
141,31,7,0,NULL
142,31,3,0,NULL
143,31,11,0,NULL
144,31,10,0,NULL
145,32,4,10,NULL
146,32,3,9,NULL
147,32,1,6,NULL
148,32,7,5,NULL
149,32,5,4,NULL
150,32,2,3,NULL
151,32,9,2,NULL
152,32,11,0,NULL
153,32,6,0,NULL
154,32,10,0,NULL
155,33,4,15,NULL
156,33,2,8,NULL
157,33,6,8,NULL
158,33,7,4,NULL
159,33,5,3,NULL
160,33,9,1,NULL
161,33,3,0,NULL
162,33,1,0,NULL
163,33,11,0,NULL
164,33,10,0,NULL
165,34,1,10,NULL
166,34,6,14,NULL
167,34,4,6,NULL
168,34,2,7,NULL
169,34,7,2,NULL
170,34,5,0,NULL
171,34,9,0,NULL
172,34,11,0,NULL
173,34,3,0,NULL
174,34,10,0,NULL
175,35,6,16,NULL
176,35,4,8,NULL
177,35,5,5,NULL
178,35,1,6,NULL
179,35,7,4,NULL
180,35,9,0,NULL
181,35,2,0,NULL
182,35,3,0,NULL
183,35,11,0,NULL
184,35,10,0,NULL
185,36,6,13,NULL
186,36,1,14,D
187,36,2,5,NULL
188,36,4,4,NULL
189,36,3,2,NULL
190,36,7,1,NULL
191,36,11,0,NULL
192,36,8,0,NULL
193,36,9,0,NULL
194,36,5,0,NULL
195,36,12,0,NULL
196,37,1,18,D
197,37,6,10,NULL
198,37,2,5,NULL
199,37,4,4,NULL
200,37,7,2,NULL
201,37,3,0,NULL
202,37,9,0,NULL
203,37,11,0,NULL
204,37,8,0,NULL
205,37,5,0,NULL
206,37,12,0,NULL
207,38,6,16,NULL
208,38,1,12,D
209,38,2,8,NULL
210,38,7,2,NULL
211,38,4,1,NULL
212,38,3,0,NULL
213,38,11,0,NULL
214,38,12,0,NULL
215,38,8,0,NULL
216,38,9,0,NULL
217,38,5,0,NULL
218,39,6,10,NULL
219,39,1,14,D
220,39,2,5,NULL
221,39,9,4,NULL
222,39,3,3,NULL
223,39,4,2,NULL
224,39,8,1,NULL
225,39,11,0,NULL
226,39,12,0,NULL
227,39,7,0,NULL
228,39,5,0,NULL
229,40,1,18,D
230,40,6,7,NULL
231,40,4,5,NULL
232,40,2,7,NULL
233,40,3,2,NULL
234,40,5,0,NULL
235,40,11,0,NULL
236,40,9,0,NULL
237,40,7,0,NULL
238,40,8,0,NULL
239,40,12,0,NULL
240,41,1,12,D
241,41,2,8,NULL
242,41,3,6,NULL
243,41,4,5,NULL
244,41,6,4,NULL
245,41,8,3,NULL
246,41,7,1,NULL
247,41,9,0,NULL
248,41,11,0,NULL
249,41,5,0,NULL
250,41,12,0,NULL
251,42,1,18,D
252,42,6,11,NULL
253,42,4,4,NULL
254,42,7,3,NULL
255,42,9,2,NULL
256,42,2,1,NULL
257,42,3,0,NULL
258,42,8,0,NULL
259,42,11,0,NULL
260,42,5,0,NULL
261,42,12,0,NULL
262,43,6,18,NULL
263,43,1,8,D
264,43,2,9,NULL
265,43,4,3,NULL
266,43,11,1,NULL
267,43,3,0,NULL
268,43,7,0,NULL
269,43,9,0,NULL
270,43,8,0,NULL
271,43,12,0,NULL
272,43,5,0,NULL
273,44,6,14,NULL
274,44,1,14,D
275,44,2,8,NULL
276,44,4,3,NULL
277,44,11,0,NULL
278,44,9,0,NULL
279,44,3,0,NULL
280,44,8,0,NULL
281,44,12,0,NULL
282,44,5,0,NULL
283,44,7,0,NULL
284,45,1,10,D
285,45,6,8,NULL
286,45,9,10,NULL
287,45,3,5,NULL
288,45,2,5,NULL
289,45,4,1,NULL
290,45,11,0,NULL
291,45,8,0,NULL
292,45,7,0,NULL
293,45,12,0,NULL
294,45,5,0,NULL
295,46,1,15,D
296,46,6,8,NULL
297,46,2,10,NULL
298,46,7,3,NULL
299,46,3,2,NULL
300,46,4,1,NULL
301,46,9,0,NULL
302,46,8,0,NULL
303,46,5,0,NULL
304,46,12,0,NULL
305,46,11,0,NULL
306,47,6,18,NULL
307,47,1,10,D
308,47,2,6,NULL
309,47,4,3,NULL
310,47,3,2,NULL
311,47,9,0,NULL
312,47,7,0,NULL
313,47,11,0,NULL
314,47,8,0,NULL
315,47,5,0,NULL
316,47,12,0,NULL
317,48,1,18,D
318,48,6,6,NULL
319,48,2,9,NULL
320,48,3,3,NULL
321,48,4,2,NULL
322,48,11,1,NULL
323,48,9,0,NULL
324,48,7,0,NULL
325,48,8,0,NULL
326,48,5,0,NULL
327,48,12,0,NULL
328,49,6,18,NULL
329,49,1,11,D
330,49,2,4,NULL
331,49,3,3,NULL
332,49,9,2,NULL
333,49,4,1,NULL
334,49,7,0,NULL
335,49,5,0,NULL
336,49,11,0,NULL
337,49,12,0,NULL
338,49,8,0,NULL
339,50,1,10,D
340,50,4,12,NULL
341,50,6,9,NULL
342,50,9,5,NULL
343,50,2,2,NULL
344,50,12,1,NULL
345,50,5,0,NULL
346,50,11,0,NULL
347,50,7,0,NULL
348,50,8,0,NULL
349,50,3,0,NULL
350,51,6,16,NULL
351,51,1,8,D
352,51,5,8,NULL
353,51,11,4,NULL
354,51,2,2,NULL
355,51,9,1,NULL
356,51,4,0,NULL
357,51,3,0,NULL
358,51,7,0,NULL
359,51,8,0,NULL
360,51,12,0,NULL
361,52,6,18,NULL
362,52,1,8,D
363,52,3,5,NULL
364,52,2,7,NULL
365,52,7,1,NULL
366,52,9,0,NULL
367,52,8,0,NULL
368,52,5,0,NULL
369,52,12,0,NULL
370,52,11,0,NULL
371,52,4,0,NULL
372,53,4,10,NULL
373,53,6,8,NULL
374,53,1,10,NULL
375,53,11,5,NULL
376,53,3,5,NULL
377,53,9,1,NULL
378,53,5,0,NULL
379,53,2,0,NULL
380,53,7,0,NULL
381,53,13,0,NULL
382,53,8,0,NULL
383,54,4,18,NULL
384,54,11,6,NULL
385,54,1,5,NULL
386,54,6,7,NULL
387,54,2,2,NULL
388,54,7,1,NULL
389,54,5,0,NULL
390,54,13,0,NULL
391,54,8,0,NULL
392,54,9,0,NULL
393,54,3,0,NULL
394,55,4,14,NULL
395,55,1,8,NULL
396,55,7,6,NULL
397,55,2,8,NULL
398,55,11,2,NULL
399,55,9,1,NULL
400,55,5,0,NULL
401,55,13,0,NULL
402,55,8,0,NULL
403,55,6,0,NULL
404,55,3,0,NULL
405,56,6,15,NULL
406,56,4,9,NULL
407,56,1,10,NULL
408,56,3,3,NULL
409,56,11,2,NULL
410,56,7,0,NULL
411,56,2,0,NULL
412,56,5,0,NULL
413,56,13,0,NULL
414,56,9,0,NULL
415,56,8,0,NULL
416,57,6,16,NULL
417,57,4,11,NULL
418,57,1,5,NULL
419,57,11,4,NULL
420,57,3,2,NULL
421,57,2,1,NULL
422,57,7,0,NULL
423,57,5,0,NULL
424,57,13,0,NULL
425,57,8,0,NULL
426,57,9,0,NULL
427,58,4,16,NULL
428,58,6,13,NULL
429,58,1,4,NULL
430,58,11,5,NULL
431,58,2,1,NULL
432,58,3,0,NULL
433,58,7,0,NULL
434,58,9,0,NULL
435,58,5,0,NULL
436,58,13,0,NULL
437,58,8,0,NULL
438,59,4,13,NULL
439,59,1,8,NULL
440,59,9,6,NULL
441,59,11,5,NULL
442,59,6,4,NULL
443,59,2,2,NULL
444,59,7,1,NULL
445,59,5,0,NULL
446,59,13,0,NULL
447,59,8,0,NULL
448,59,3,0,NULL
449,60,4,15,NULL
450,60,6,12,NULL
451,60,1,9,NULL
452,60,2,3,NULL
453,60,3,0,NULL
454,60,11,0,NULL
455,60,7,0,NULL
456,60,9,0,NULL
457,60,5,0,NULL
458,60,13,0,NULL
459,60,8,0,NULL
460,61,4,15,NULL
461,61,6,12,NULL
462,61,1,6,NULL
463,61,7,3,NULL
464,61,2,2,NULL
465,61,9,1,NULL
466,61,11,0,NULL
467,61,5,0,NULL
468,61,3,0,NULL
469,61,13,0,NULL
470,61,8,0,NULL
471,62,6,18,NULL
472,62,4,10,NULL
473,62,7,5,NULL
474,62,11,3,NULL
475,62,9,2,NULL
476,62,5,1,NULL
477,62,3,0,NULL
478,62,13,0,NULL
479,62,2,0,NULL
480,62,8,0,NULL
481,62,1,0,NULL
482,63,6,16,NULL
483,63,4,11,NULL
484,63,7,5,NULL
485,63,1,6,NULL
486,63,2,1,NULL
487,63,9,0,NULL
488,63,5,0,NULL
489,63,3,0,NULL
490,63,13,0,NULL
491,63,8,0,NULL
492,63,11,0,NULL
493,64,6,18,NULL
494,64,1,6,NULL
495,64,11,5,NULL
496,64,4,7,NULL
497,64,7,2,NULL
498,64,9,1,NULL
499,64,5,0,NULL
500,64,3,0,NULL
501,64,8,0,NULL
502,64,2,0,NULL
503,64,13,0,NULL
504,65,11,15,NULL
505,65,1,8,NULL
506,65,2,6,NULL
507,65,9,4,NULL
508,65,7,3,NULL
509,65,6,3,NULL
510,65,13,0,NULL
511,65,5,0,NULL
512,65,8,0,NULL
513,65,4,0,NULL
514,65,3,0,NULL
515,66,6,16,NULL
516,66,4,11,NULL
517,66,11,6,NULL
518,66,1,4,NULL
519,66,7,2,NULL
520,66,3,0,NULL
521,66,9,0,NULL
522,66,2,0,NULL
523,66,5,0,NULL
524,66,13,0,NULL
525,66,8,0,NULL
526,67,6,10,NULL
527,67,1,8,NULL
528,67,2,7,NULL
529,67,4,5,NULL
530,67,11,7,NULL
531,67,7,2,NULL
532,67,3,0,NULL
533,67,9,0,NULL
534,67,5,0,NULL
535,67,8,0,NULL
536,67,14,0,NULL
537,68,6,10,NULL
538,68,4,14,NULL
539,68,11,8,NULL
540,68,1,4,NULL
541,68,2,2,NULL
542,68,3,1,NULL
543,68,9,0,NULL
544,68,5,0,NULL
545,68,14,0,NULL
546,68,8,0,NULL
547,68,7,0,NULL
548,69,4,16,NULL
549,69,6,8,NULL
550,69,11,5,NULL
551,69,1,4,NULL
552,69,7,5,NULL
553,69,2,1,NULL
554,69,3,0,NULL
555,69,9,0,NULL
556,69,5,0,NULL
557,69,8,0,NULL
558,69,14,0,NULL
559,70,6,15,NULL
560,70,4,11,NULL
561,70,11,8,NULL
562,70,1,5,NULL
563,70,2,0,NULL
564,70,8,0,NULL
565,70,5,0,NULL
566,70,9,0,NULL
567,70,14,0,NULL
