Date,USD,EUR,GBP,INR,AED,CNY
1985-01-01,308.3,402.45,266.01,3825.85,1134.42,
1985-01-02,305.5,401.49,266,3787.05,1134.42,
1985-01-03,302.3,397.08,262.76,3718.88,1107.67,
1985-01-04,303.15,397.15,262.58,3759.64,1118.21,
1985-01-07,298.25,392.55,261.17,3741.23,1091.58,835.8
1985-01-08,302,395.32,263.07,3820.7,1114.06,853.01
1985-01-09,300.5,393.54,263.14,3742.23,1097.47,840.31
1985-01-10,303.8,397.63,268.02,3853.39,1126.83,862.79
1985-01-11,304.25,398.6,270.57,3845.57,1135.85,869.69
1985-01-14,299,395.39,269.13,3790.08,1109.51,859.68
1985-01-15,301.8,398.73,269.46,3804.07,1105.34,856.45
1985-01-16,302.7,400.11,270.63,3818.67,1106.46,857.32
1985-01-17,305.5,402.99,273.01,3859.89,1118.4,866.57
1985-01-18,308,406.15,274.76,3883.32,1120.42,868.14
1985-01-21,307.25,404.61,273.48,3891.13,1129.9,866.49
1985-01-22,306.9,403.45,272.92,3864.48,1128.16,865.15
1985-01-23,300.25,396.15,270.37,3842.37,1124.88,862.64
1985-01-24,300.85,394.79,269.22,3815.78,1117.1,856.67
1985-01-25,298.85,393.15,269.11,3805.49,1114.09,854.36
1985-01-28,297.75,391.63,268,3789.62,1098.45,840.09
1985-01-29,303.25,399.59,272.1,3830.1,1112.97,851.19
1985-01-30,302.9,398.15,268.89,3793.73,1099.3,840.74
1985-01-31,306.65,402.82,271.13,3834.78,1101.79,842.64
1985-02-01,303.6,400.05,269.99,3861.16,1107.8,847.23
1985-02-04,301.25,401.44,270.42,3839.36,1106.11,850.8
1985-02-05,302.05,403.85,271.75,3844.69,1110.44,854.12
1985-02-06,302.85,404.56,271.86,3863.15,1114.19,857.01
1985-02-07,301.65,405.8,270.17,3843.06,1108.4,852.55
1985-02-08,299.8,404.45,269.97,3861.46,1107.39,851.78
1985-02-11,300.15,407.29,273.73,3871.41,1100.69,849.06
1985-02-12,302.5,412.8,278.03,3933.16,1121.86,865.39
1985-02-13,303.2,414.89,278.68,3919.84,1119.64,863.68
1985-02-14,304.15,415.55,278.53,3918.76,1117.75,862.22
1985-02-15,304,412.63,275.49,3908.11,1111.57,857.45
1985-02-18,304.5,416.4,278.46,3917.56,1119.22,865.35
1985-02-19,302.6,416.1,276.73,3923.52,1111.88,859.67
1985-02-20,302.9,419.37,278.91,3943.74,1119.19,865.32
1985-02-21,299.85,418.42,277.13,3942.27,1120.36,866.23
1985-02-22,298.4,420.94,277.07,3918.61,1113.63,861.03
1985-02-25,284.25,408.71,269.56,3855.67,1067.05,839.47
1985-02-26,285.75,408.29,271.5,3740.12,1050.64,826.57
1985-02-27,290.8,402.81,267.4,3702.36,1037.16,815.96
1985-02-28,287.75,400.46,266.44,3783.14,1043.65,821.07
1985-03-01,287.25,401.54,267.83,3751.75,1042.26,819.98
1985-03-04,288.65,404.8,270.15,3790.93,1062.27,824.02
1985-03-05,287.9,410.26,272.76,3784.45,1077.22,835.62
1985-03-06,287.4,405.32,267.97,3687.17,1052.44,816.39
1985-03-07,289.6,409.62,271.54,3783.28,1067.95,828.43
1985-03-08,291,411.97,272.86,3758.38,1066.85,827.57
1985-03-11,291,405.25,267.22,3730.76,1060.87,813.84
1985-03-12,288.45,402.13,264.88,3697.43,1055.39,809.63
1985-03-13,290.25,406.02,267.27,3767.67,1063.43,815.81
1985-03-14,290.75,410.24,269.09,3782.81,1069.21,820.24
1985-03-15,292.7,412.58,270.02,3756.1,1064.66,816.75
1985-03-18,298.85,417.5,270.09,3742.59,1072.08,829.05
