Date,Game,Earnings,Players,Tournaments
1/1/1998,QuakeWorld,15000,8,1
5/1/1998,Quake II,14600,4,1
7/1/1998,Quake II,15000,5,1
7/1/1998,QuakeWorld,6500,4,1
11/1/1998,Quake II,36600,13,2
11/1/1998,QuakeWorld,22000,0,1
11/1/1998,StarCraft: Brood War,20000,8,1
12/1/1998,Age of Empires,2000,1,1
3/1/1999,Quake II,15000,5,1
4/1/1999,StarCraft: Brood War,3000,2,1
5/1/1999,Quake II,27400,8,1
5/1/1999,StarCraft: Brood War,27400,8,1
8/1/1999,Descent 3,50000,1,1
8/1/1999,StarCraft: Brood War,49498.86,9,2
9/1/1999,StarCraft: Brood War,34666.16,15,3
9/1/1999,Quake III Arena,16400,6,1
10/1/1999,Quake III Arena,26800,12,1
12/1/1999,StarCraft: Brood War,24988.82,16,4
1/1/2000,Age of Empires II,35335.86,2,1
1/1/2000,StarCraft: Brood War,23820.16,15,3
2/1/2000,Quake III Arena,4000,3,1
2/1/2000,Age of Empires II,450,5,1
4/1/2000,Quake III Arena,110927.63,43,8
4/1/2000,Age of Empires,9500,4,1
4/1/2000,Age of Empires II,5015,1,1
5/1/2000,StarCraft: Brood War,17977.49,16,1
5/1/2000,Quake III Arena,12300,5,2
5/1/2000,Age of Empires II,225,0,2
6/1/2000,Quake III Arena,6970,9,2
6/1/2000,StarCraft: Brood War,4494.37,1,1
6/1/2000,Age of Empires II,1006.8,5,2
7/1/2000,Quake III Arena,23170,6,2
7/1/2000,Marvel vs. Capcom 2,0,3,1
7/1/2000,Street Fighter Alpha 2,0,3,1
7/1/2000,Street Fighter Alpha 3,0,3,1
7/1/2000,Street Fighter III: 3rd Strike,0,3,1
7/1/2000,Super Street Fighter II Turbo,0,3,1
8/1/2000,StarCraft: Brood War,12853.9,4,1
8/1/2000,Age of Empires II,9192,9,3
8/1/2000,Quake III Arena,5750,3,1
9/1/2000,Quake III Arena,52059.98,11,5
9/1/2000,Age of Empires II,12378.11,11,3
9/1/2000,StarCraft: Brood War,6292.12,1,2
10/1/2000,Quake III Arena,75000,5,3
10/1/2000,Age of Empires II,50000,4,1
10/1/2000,FIFA 2000,50000,4,1
10/1/2000,StarCraft: Brood War,50000,4,1
11/1/2000,StarCraft: Brood War,17600,16,1
12/1/2000,Quake III Arena,125060.21,75,4
12/1/2000,Counter-Strike,23763.33,62,2
12/1/2000,Age of Empires II,165.53,5,2
1/1/2001,Quake III Arena,19055.71,12,3
1/1/2001,StarCraft: Brood War,5257,7,2
1/1/2001,Counter-Strike,4720.77,35,1
1/1/2001,Age of Empires II,1200,6,2
2/1/2001,Quake III Arena,3750,8,1
3/1/2001,Age of Empires II,1641.29,12,5
4/1/2001,Counter-Strike,43711.29,41,2
4/1/2001,Quake III Arena,2272.23,8,3
4/1/2001,Age of Empires II,200,1,1
5/1/2001,Quake III Arena,15841.68,16,2
5/1/2001,Counter-Strike,13131,41,1
5/1/2001,StarCraft: Brood War,12234.91,16,2
5/1/2001,Age of Empires II,500,1,1
