Date,Rainfall_S_Piero,Rainfall_Mangona,Rainfall_S_Agata,Rainfall_Cavallina,Rainfall_Le_Croci,Temperature_Le_Croci,Lake_Level,Flow_Rate
03/06/2002,,,,,,,249.43,0.31
04/06/2002,,,,,,,249.43,0.31
05/06/2002,,,,,,,249.43,0.31
06/06/2002,,,,,,,249.43,0.31
07/06/2002,,,,,,,249.44,0.31
08/06/2002,,,,,,,249.56,0.38
09/06/2002,,,,,,,249.57,0.38
10/06/2002,,,,,,,249.58,0.48
11/06/2002,,,,,,,249.57,0.48
12/06/2002,,,,,,,249.57,0.48
13/06/2002,,,,,,,249.57,0.48
14/06/2002,,,,,,,249.57,0.48
15/06/2002,,,,,,,249.57,0.48
16/06/2002,,,,,,,249.56,0.48
17/06/2002,,,,,,,249.56,0.48
18/06/2002,,,,,,,249.56,0.48
19/06/2002,,,,,,,249.55,0.48
20/06/2002,,,,,,,249.55,0.48
21/06/2002,,,,,,,249.54,0.48
22/06/2002,,,,,,,249.53,0.48
23/06/2002,,,,,,,249.52,0.48
24/06/2002,,,,,,,249.51,0.48
25/06/2002,,,,,,,249.5,0.48
26/06/2002,,,,,,,249.49,0.48
27/06/2002,,,,,,,249.47,0.48
28/06/2002,,,,,,,249.46,0.48
29/06/2002,,,,,,,249.45,0.48
30/06/2002,,,,,,,249.43,1.7
01/07/2002,,,,,,,249.39,1.7
02/07/2002,,,,,,,249.35,1.7
03/07/2002,,,,,,,249.32,1.7
04/07/2002,,,,,,,249.28,1.7
05/07/2002,,,,,,,249.24,2
06/07/2002,,,,,,,249.2,2
07/07/2002,,,,,,,249.16,2
08/07/2002,,,,,,,249.12,2
09/07/2002,,,,,,,249.07,2
10/07/2002,,,,,,,249.05,1.2
11/07/2002,,,,,,,249.02,1.2
12/07/2002,,,,,,,248.98,2
13/07/2002,,,,,,,248.94,2
14/07/2002,,,,,,,248.9,2
15/07/2002,,,,,,,248.87,0.6
16/07/2002,,,,,,,248.91,0.6
17/07/2002,,,,,,,248.91,0.6
18/07/2002,,,,,,,248.9,0.6
19/07/2002,,,,,,,248.88,1.5
20/07/2002,,,,,,,248.85,1.5
21/07/2002,,,,,,,248.82,1.5
22/07/2002,,,,,,,248.79,1.5
23/07/2002,,,,,,,248.75,2
24/07/2002,,,,,,,248.71,2
25/07/2002,,,,,,,248.67,2
26/07/2002,,,,,,,248.63,2
27/07/2002,,,,,,,248.59,2
28/07/2002,,,,,,,248.55,2
29/07/2002,,,,,,,248.51,2.5
30/07/2002,,,,,,,248.45,2.5
31/07/2002,,,,,,,248.41,2.5
01/08/2002,,,,,,,248.37,1.5
02/08/2002,,,,,,,248.33,1.5
03/08/2002,,,,,,,248.31,1.5
04/08/2002,,,,,,,248.27,2
05/08/2002,,,,,,,248.23,2
06/08/2002,,,,,,,248.17,2.5
07/08/2002,,,,,,,248.2,0.5
08/08/2002,,,,,,,248.18,1
09/08/2002,,,,,,,248.18,0.5
10/08/2002,,,,,,,248.19,0.5
11/08/2002,,,,,,,248.23,2.5
12/08/2002,,,,,,,248.21,0.5
13/08/2002,,,,,,,248.21,0.5
14/08/2002,,,,,,,248.21,0.5
15/08/2002,,,,,,,248.2,0.5
16/08/2002,,,,,,,248.19,0.5
17/08/2002,,,,,,,248.18,0.5
18/08/2002,,,,,,,248.16,0.5
19/08/2002,,,,,,,248.15,0.5
20/08/2002,,,,,,,248.14,0.5
21/08/2002,,,,,,,248.13,0.5
22/08/2002,,,,,,,248.12,1
