"I_y","PF","e_PF","d_if","I_f"
3,0.66,0.34,0.383,1.563
3,0.68,0.32,0.372,1.552
3,0.7,0.3,0.36,1.54
3,0.72,0.28,0.338,1.518
3,0.74,0.26,0.317,1.497
3,0.76,0.24,0.301,1.481
3,0.78,0.22,0.29,1.47
3,0.8,0.2,0.28,1.46
3,0.82,0.18,0.25,1.43
3,0.84,0.16,0.221,1.401
3,0.86,0.14,0.192,1.372
3,0.88,0.12,0.165,1.345
3,0.9,0.1,0.138,1.318
3,0.92,0.08,0.098,1.278
3,0.94,0.06,0.057,1.237
3,0.96,0.04,0.037,1.217
3,0.98,0.02,0.037,1.217
3,1,0,0.037,1.217
3.1,0.66,0.34,0.397,1.577
3.1,0.68,0.32,0.414,1.594
3.1,0.7,0.3,0.442,1.622
3.1,0.72,0.28,0.369,1.549
3.1,0.74,0.26,0.385,1.565
3.1,0.76,0.24,0.31,1.49
3.1,0.78,0.22,0.325,1.505
3.1,0.8,0.2,0.349,1.529
3.1,0.82,0.18,0.27,1.45
3.1,0.84,0.16,0.277,1.457
3.1,0.86,0.14,0.193,1.373
3.1,0.88,0.12,0.2,1.38
3.1,0.9,0.1,0.216,1.396
3.1,0.92,0.08,0.118,1.298
3.1,0.94,0.06,0.124,1.304
3.1,0.96,0.04,0.139,1.319
3.1,0.98,0.02,0.139,1.319
3.1,1,0,0.139,1.319
3.2,0.66,0.34,0.393,1.573
3.2,0.68,0.32,0.409,1.589
3.2,0.7,0.3,0.436,1.616
3.2,0.72,0.28,0.361,1.541
3.2,0.74,0.26,0.377,1.557
3.2,0.76,0.24,0.306,1.486
3.2,0.78,0.22,0.318,1.498
3.2,0.8,0.2,0.338,1.518
3.2,0.82,0.18,0.258,1.438
3.2,0.84,0.16,0.266,1.446
3.2,0.86,0.14,0.183,1.363
3.2,0.88,0.12,0.189,1.369
3.2,0.9,0.1,0.202,1.382
3.2,0.92,0.08,0.102,1.282
3.2,0.94,0.06,0.11,1.29
3.2,0.96,0.04,0.118,1.298
3.2,0.98,0.02,0.118,1.298
3.2,1,0,0.118,1.298
3.3,0.66,0.34,0.389,1.569
3.3,0.68,0.32,0.405,1.585
3.3,0.7,0.3,0.43,1.61
3.3,0.72,0.28,0.355,1.535
3.3,0.74,0.26,0.369,1.549
3.3,0.76,0.24,0.303,1.483
3.3,0.78,0.22,0.312,1.492
3.3,0.8,0.2,0.328,1.508
3.3,0.82,0.18,0.25,1.43
3.3,0.84,0.16,0.255,1.435
3.3,0.86,0.14,0.174,1.354
3.3,0.88,0.12,0.181,1.361
3.3,0.9,0.1,0.188,1.368
3.3,0.92,0.08,0.091,1.271
3.3,0.94,0.06,0.095,1.275
3.3,0.96,0.04,0.098,1.278
3.3,0.98,0.02,0.098,1.278
3.3,1,0,0.098,1.278
3.4,0.66,0.34,0.385,1.565
3.4,0.68,0.32,0.402,1.582
3.4,0.7,0.3,0.424,1.604
3.4,0.72,0.28,0.345,1.525
3.4,0.74,0.26,0.361,1.541
