,Rank,Racer,Text_Bests,Races,Texts,Career,Best_10,Best_Race,Points,Wins,Win_%,Marathon,Last_Race,Variation
0,1.0,joshua728,205.4,17304,6751,187.08,317.68,328.7,2412315.95,14944,86.36,2021,2021-09-19,18.75
1,2.0,arenasnow,205.0,8488,6410,200.8,259.97,270.75,1256435.96,8300,97.79,221,2020-10-10,8.71
2,3.0,typos_z,193.64,4729,1880,181.51,270.3,280.19,679356.84,4128,87.29,312,2021-09-23,11.24
3,4.0,florentine,192.92,7229,2147,176.56,293.22,301.12,102617.91,6099,84.37,256,2021-08-14,14.08
4,5.0,iamtyperacer,189.85,2210,1477,185.91,231.82,241.08,363817.86,2042,92.4,130,2021-09-17,9.87
5,6.0,arenasnow2,189.2,21310,3393,177.77,237.22,255.56,773193.27,19968,93.7,359,2021-08-23,9.72
6,7.0,chakk,187.62,6339,3413,180.4,299.69,314.39,1038455.97,5477,86.4,270,2021-08-16,10.99
7,8.0,performancecheck,186.97,4600,2823,183.31,233.45,244.2,787330.57,4311,93.72,240,2021-03-08,10.58
8,9.0,deroche1,186.28,300000,6156,138.45,451.41,6409.09,10947401.37,244118,81.37,6382,2021-02-18,22.89
9,10.0,slekap,186.01,31705,5861,164.41,271.31,281.49,4410452.86,24416,77.01,354,2021-09-23,16.33
10,11.0,poopandfart,181.85,2864,1766,179.82,223.02,234.39,450149.08,2602,90.85,149,2021-03-29,7.57
11,12.0,joshunq,181.24,2098,1636,179.3,244.98,254.07,352008.43,1793,85.46,116,2021-02-07,11.96
12,13.0,arc_sec,181.16,30659,5087,167.41,262.45,316.9,4621823.63,11571,37.74,487,2021-09-23,10.98
13,14.0,flaneur,180.25,20999,4101,170.22,249.96,254.99,2563798.52,15081,71.82,1095,2021-09-22,11.98
14,15.0,slowaccount,180.15,9580,5778,178.54,346.68,368.87,1162510.14,8190,85.49,259,2021-08-23,15.91
15,16.0,atthetop,178.25,132102,7350,128.84,319.51,338.74,10925360.72,80564,60.99,3500,2021-09-23,21.51
16,17.0,afterbreakonly,177.55,1735,1368,176.55,219.47,232.29,260829.46,1645,94.81,146,2019-06-29,9.18
17,18.0,mako640,176.47,67221,6290,158.9,224.14,242.67,6739797.3,58541,87.09,869,2020-12-29,9.45
18,19.0,i'd buy that for a dollar! ..,176.39,109263,3381,114.07,269.23,274.45,850538.79,61942,56.69,900,2021-09-14,20.19
19,20.0,decompose,175.93,3634,1994,171.31,230.28,244.47,554945.05,3225,88.75,408,2021-08-25,10.64
20,21.0,mpo..,175.6,4910,2557,172.67,223.46,252.24,735426.24,4436,90.35,169,2019-05-03,7.61
21,22.0,shazman,175.56,13628,4440,162.98,277.97,287.02,1563738.65,10716,78.63,405,2021-05-08,16.49
22,23.0,mostlynonquit,173.82,2695,1448,169.04,324.65,573.45,275195.41,1126,41.78,369,2018-02-20,14.86
23,24.0,alpha_panda,172.92,20333,4684,160.88,277.77,285.82,2695236.86,15327,75.38,344,2020-08-15,12.96
24,25.0,rosew..,172.31,55480,6204,150.93,224.58,238.14,7530698.59,44121,79.53,549,2021-05-09,11.87
25,26.0,eikomaniac,171.08,8689,3457,157.1,258.69,267.67,775544.13,6679,76.87,234,2021-09-01,15.01
26,27.0,blaqshaq,170.26,1853,1471,169.4,205.04,215.04,276373.37,1747,94.28,109,2021-09-20,6.94
27,28.0,keegant,170.02,387353,7350,132.45,342.8,363.17,26955766.5,313929,81.04,6520,2021-09-14,18.78
28,29.0,landarian,169.9,37415,6642,141.66,338.87,365.05,4368584.15,27510,73.53,921,2021-09-04,20.91
29,30.0,treiderik,169.67,4639,1359,169.3,255.03,260.82,11705.69,4128,88.98,289,2018-01-18,12.56
30,31.0,"Mashooq ""Qwerty Shnogurt"" H..",168.89,2060,1300,167.55,211.95,218.74,290848.8,1822,88.45,98,2021-03-21,8.41
31,32.0,xeogran,168.38,12978,3924,160.78,211.0,217.45,1819999.09,11187,86.2,608,2021-09-20,10.8
32,33.0,7emp7a7ion,168.32,1659,1335,167.27,210.89,218.18,239992.0,1465,88.31,167,2020-07-07,9.15
33,34.0,typi..,166.49,66666,3823,145.2,218.72,225.37,1964846.91,55998,84.0,471,2018-02-25,12.66
34,35.0,yzzahs,165.16,2818,1869,165.67,263.16,274.99,286936.49,2417,85.77,346,2020-10-23,13.13
35,36.0,oh_hai,165.02,15478,3080,150.06,219.79,228.68,665346.07,12602,81.42,195,2021-09-11,11.29
36,37.0,mcaso123,164.63,21840,4750,155.87,241.61,246.07,2521992.33,15599,71.42,319,2021-09-13,13.49
37,38.0,tsvukk,164.24,12505,1397,158.51,232.64,246.97,46000.99,10069,80.52,171,2018-09-06,11.35
38,39.0,PhilliesMagic - Whisper wor..,164.02,44648,3210,145.71,219.43,228.03,631069.38,38053,85.23,659,2021-07-09,11.73
39,40.0,licahfox,163.93,11857,2373,151.62,207.73,214.36,348496.16,10274,86.65,333,2021-09-01,9.34
40,41.0,ibexus,163.5,8962,2940,156.67,220.66,236.91,1243929.3,7987,89.12,231,2021-09-23,10.27
41,42.0,mythicalrocket,163.32,3935,2013,159.33,219.58,232.35,537216.88,3273,83.18,262,2021-09-21,11.52
42,43.0,uberkelium,163.16,5434,2086,156.47,203.35,210.82,219676.1,4405,81.06,702,2021-05-28,10.55
43,44.0,maximumchris2,162.5,43688,2026,141.52,241.42,250.8,319044.77,33856,77.49,660,2021-05-20,13.94
44,45.0,freshfastjashe,162.41,4156,2531,161.22,237.07,250.69,560938.29,3321,79.91,199,2021-09-15,11.9
