,Month,Total_Races,Texts_Raced,Most_Num_Races,Most_Races_User,Fasterst_Race,Fastest_User
0,September 2021,479944,4013,"4,760 ",vixt,349.01 ,taran127
1,August 2021,1273532,4843,"8,871 ",jestercapo,301.51 ,joshua728
2,July 2021,1360107,5083,"8,058 ",jestercapo,323.40 ,joshua728
3,June 2021,1567957,5034,"9,633 ",jestercapo,350.09 ,mononym_jisoo
4,May 2021,1810860,4796,"11,369 ",jestercapo,340.58 ,taran127
5,April 2021,2028571,4493,"9,234 ",jestercapo,413.45 ,iggy6969
6,March 2021,2950989,5308,"10,530 ",jestercapo,315.08 ,slowaccount
7,February 2021,3924273,4454,"10,180 ",jestercapo,334.72 ,taran127
8,January 2021,3743830,4712,"69,420 ",keegant,326.39 ,slowaccount
9,December 2020,2696709,7129,"33,335 ",mononym_jisoo,341.40 ,slowaccount
10,November 2020,2098933,7123,"12,799 ",mononym_jisoo,363.87 ,l___l
11,October 2020,1794937,7151,"8,738 ",pastas,379.03 ,taran127
12,September 2020,1556932,7042,"8,694 ", ✔️▄◘🚀!new_luca@y,363.17 ,keegant
13,August 2020,1483354,7016,"10,543 ",charlieog,"4,991.15 ",adam1205
14,July 2020,1212440,6933,"6,646 ",charlieog,"2,575.34 ",kevinski1
15,June 2020,1114307,6932,"8,892 ",charlieog,393.31 ,taran127
16,May 2020,1159084,6968,"11,037 ",keegant,560.75 ,dev_rec
17,April 2020,1149143,6677,"22,871 ",keegant,374.01 ,taran127
18,March 2020,1033217,6697,"15,669 ",keegant,355.39 ,taran127
19,February 2020,823741,6681,"20,378 ",keegant,324.51 ,taran127
20,January 2020,877105,6523,"8,568 ",poem,"3,168.54 ",ajityahoo876
21,December 2019,905816,6396,"25,500 ",keegant,869.03 ,codecub
22,November 2019,877092,6264,"20,150 ",keegant,329.44 ,hospi..
23,October 2019,880269,6244,"5,585 ",keegant,373.51 ,taran127
24,September 2019,876485,6256,"5,642 ",keegant,344.32 ,taran127
