DeviceTimeStamp,OTI,WTI,ATI,OLI,OTI_A,OTI_T,MOG_A
2019-06-25T13:06,0.0,0.0,0.0,37.0,0.0,0.0,0.0
2019-06-25T13:09,0.0,0.0,0.0,37.0,0.0,0.0,0.0
2019-06-27T10:49,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T10:51,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T10:52,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T10:52,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T10:53,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T10:54,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T10:56,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T10:57,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T10:58,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:01,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T11:01,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:02,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:08,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:12,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:15,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T11:16,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T11:16,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:17,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:19,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:20,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:20,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T11:21,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:22,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T11:22,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:23,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:24,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:24,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T11:27,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:28,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:29,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:30,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:30,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T11:33,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T11:33,0.0,0.0,0.0,38.0,0.0,0.0,0.0
2019-06-27T11:34,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:34,0.0,0.0,0.0,39.0,0.0,0.0,0.0
2019-06-27T11:38,34.0,0.0,34.0,38.0,0.0,0.0,0.0
2019-06-27T11:38,34.0,0.0,34.0,38.0,0.0,0.0,0.0
2019-06-27T11:38,34.0,0.0,34.0,38.0,0.0,0.0,0.0
2019-06-27T11:38,34.0,0.0,34.0,38.0,0.0,0.0,0.0
2019-06-27T11:39,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:40,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:40,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:44,34.0,0.0,34.0,38.0,0.0,0.0,0.0
2019-06-27T11:44,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:45,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:46,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:53,34.0,0.0,34.0,38.0,0.0,0.0,0.0
2019-06-27T11:54,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:54,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:57,34.0,0.0,34.0,38.0,0.0,0.0,0.0
2019-06-27T11:57,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:58,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:58,34.0,0.0,34.0,39.0,0.0,0.0,0.0
2019-06-27T11:59,34.0,0.0,34.0,38.0,0.0,0.0,0.0
2019-06-27T12:00,34.0,0.0,34.0,39.0,0.0,0.0,0.0
