DeviceTimeStamp,KWH,KWH_I,KVARH,KW,KVA,KVAR,MPD,MKVAD
2019-06-27T10:51,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T10:52,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T10:53,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T10:53,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T10:56,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T10:56,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T10:57,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:01,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:01,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:10,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:15,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:16,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:17,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:17,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:20,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:21,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:22,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:23,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:23,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:24,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:28,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:29,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:29,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:30,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:33,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:34,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:38,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:39,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:40,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:40,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:43,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:45,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:45,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:48,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:51,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:53,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:54,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:56,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:57,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:58,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T11:59,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T12:00,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T12:00,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T12:01,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T12:02,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T12:02,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
2019-06-27T12:03,54.501,0.0,57.731,0.0,0.0,0.0,23.6,23.6
