product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count
00415668,Extra Virgin Olive Oil,1.0 L,Sainsbury's,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
00643764,Still Mountain Water from Scotland,500 ml,M&S Food,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
0076280045314,Calcium and Magnesium,1.600ml,Solaray Dietary supplement,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
008080150059,Fiery Pink Pepper Body Lotion,300 ml,Molton Brown,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
0096619381784,Spring Water,500 ml,Kirkland Signature,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
0096619482016,Spring Water,500 ml,Kirkland Signature,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
01125382,Scottish Fresh Semi-Skimmed Milk,2.272 L,Sainsbury's,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
0606110701099,Água Purificada,500 ml,Recheio,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,2
0610696090768,Vimto Gasificado,350 ml,Vimto,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,14
0621033967506,Água Purificada,500 ml,Crystalina,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,47
0701698525010,Agua Mineral,500ml,Matisana,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,58
0701698525027,Agua Mineral,1.5 L,Matisana,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,26
0781159624544,Água purificada,6.5L,Vitale,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,58
0781718086073,natural pure water,1.5 l,Pure Water,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
0781718777377,Kargasok Safi,300ml,Appolo Wine Limited,UK,UNKNOWN_ORG,ZM,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,2
0792382342730,Drinking Water,500 ml,Mbaruk Springs,UK,UNKNOWN_ORG,KE,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
0792382352296,Drinking Water,1.5 L,Karigen,UK,UNKNOWN_ORG,KE,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
0792382409518,Drinking Water,500 ml,Oceanic,UK,UNKNOWN_ORG,KE,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
0792382409532,Drinking Water,1.0 L,Oceanic,UK,UNKNOWN_ORG,KE,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
0792382497843,Purified Drinking Water,1.0 L,Pure Life,UK,UNKNOWN_ORG,KE,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,2
0792382500710,Taste the Purity Water,1.0 L,Madini,UK,UNKNOWN_ORG,KE,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
096619297542,Whole Black Peppercorns,399 g,Kirkland Signature,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
21026034,Still Natural Mineral Water,2.0 L,Asda,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
29087709,The Tropical One Juice,500 ml,M&S Food,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
3057640100178,Natural Mineral Water,1.5 L,Volvic,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,2
3057640100673,Natural Mineral Water,500 ml,Volvic,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,3
3057640136993,Natural Mineral Water,1.0 L,Volvic,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,2
3057640316098,Touch of Fruit Lemon Lime Sugar Free,1.5 L,Volvic,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
3057640510878,volvic juicy,1000ml,Volvic,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
3068320014067,Natural Mineral Water,750 ml,Evian,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,3
3068320084602,Natural Mineral Water,1.5 L,Evian,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
3155930006015,Lager Beer,330ml,Desperados Original Tequila,UK,UNKNOWN_ORG,TZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,3
4056489479499,Apple & Mango Juice,1.0 L,Naturis,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
4088600274065,Vive Lemonade,3.0 L,Aldi,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5000112599725,Citrus Punch Fruit Drink,500 ml,Oasis,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5000112599732,Summer Fruits Juice Drink,500 ml,Oasis,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5000167022667,Moisturising Lotion,500 ml,E45,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5000193034559,Dr. Pepper Carbonated Soft Drink,500 ml,Dr. Pepper,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5000382039846,Cola drink,500 ml,Barrs,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5010327325132,18 year old Single Malt Whisky,750 ml,Glenfiddich,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,2
5010438001130,Carbonated Soft Drink,500 ml,Vimto,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5010438017490,"Orange, Strawberry & Lime Juice Drink",500 ml,Vimto,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5010459000365,Spring Water,8x500ml,Highland Spring,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5010459003496,Still Spring Water,330 ml,Highland Spring,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,3
5010459005025,Still Spring Water,1.5 L,Highland Spring,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,3
5010459005179,Sparkling Spring Water,500 ml,Highland Spring,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5010459005216,Still Spring Water,500 ml,Highland Spring,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,8
5010459007289,Highland Spring Mineral Water - Sparkling,750ml,Highland Spring,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5010459015178,Sparkling Spring Water,1.5 L,Highland Spring,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5011273030651,Set Honey,1360 g,Rowse,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5011273040339,Organic Honey,340 g,Rowse,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5011273119035,organic honey,3X340g,Rowse,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5011898005119,Mango Juice Drink,500 ml,Rubicon,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5012583203728,Shower + Oils Gel,250 ml,Right Guard,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5019402500723,Scottish Spring Water Cranberry & Raspberry,500 ml,MacB,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,2
5019402500730,Strawberry & Kiwi,500 ml,MacB,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5019402500754,Apple & Blackcurrant,500 ml,MacB,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5020379106658,Tropical Berry Sport Drink,500 ml,Euro Shopper,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,2
5024616003014,Still Natural Mineral Water,330 ml,Princes Gate,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,2
5026109000531,Radnor Hills Water,500 ml,Radnor,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5033022002269,Still Spring Water,500ml,Ice Valley,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,6
5033022002337,Sparkling Spring Water,500 ml,Ice Valley,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5034938200015,All-purpose Sanitiser,500 ml,Bio-D,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5034938500016,Liquid Handwash,500 ml,Bio-D,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5038862133555,Citrus Shield Juice,750 ml,innocent,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
5038862304504,Smoothie Mangoes Passion Fruits Apples,750 ml,innocent,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,3
5054073041434,Table Salt,750 g,best-one,UK,UNKNOWN_ORG,GB,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
