id,Name,Writer,Likes,Genre,Rating,Subscribers,Summary,Update,Reading Link
0,Let's Play,Leeanne M. Krecic (Mongie),30.6M,Romance,9.62,4.2M,"She's young, single and about to achieve her dream of creating incredible videogames. But then life throws her a one-two punch: a popular streamer gives her first game a scathing review. Even worse she finds out that same troublesome critic is now her new neighbor! A funny, sexy and all-too-real story about gaming, memes and social anxiety. Come for the plot, stay for the doggo.",UP EVERY TUESDAY,https://www.webtoons.com/en/romance/letsplay/list?title_no=1218
1,True Beauty,Yaongyi,39.9M,Romance,9.6,6.4M,"After binge-watching beauty videos online, a shy comic book fan masters the art of makeup and sees her social standing skyrocket as she becomes her school's prettiest pretty girl overnight. But will her elite status be short-lived? How long can she keep her real self a secret? And what about that cute boy who knows her secret?",UP EVERY WEDNESDAY,https://www.webtoons.com/en/romance/truebeauty/list?title_no=1436
2,Midnight Poppy Land,Lilydusk,10.4M,Romance,9.81,2.1M,"After making a grisly discovery in the countryside, a small town book editor's life gets entangled with a young Mafia lord and his intimidating bodyguard...even as every step she takes draws her deeper into the dangerous underworld of the city.",UP EVERY SATURDAY,https://www.webtoons.com/en/romance/midnight-poppy-land/list?title_no=1798
3,Age Matters,Enjelicious,25.9M,Romance,9.79,3.5M,"She's a hopeless romantic who's turning 30's  and is not super happy about it. He's a reclusive billionaire who's hired her to be his assistant , and he's not too happy about that either. Together they rewrite the rules of friendship, love, work and the BEST way to clean someone's apartment.",UP EVERY WEDNESDAY,https://www.webtoons.com/en/romance/age-matters/list?title_no=1364
4,Unholy Blood,Lina Im / Jeonghyeon Kim,9.9M,Supernatural,9.85,1.5M,"When vampires destroy her chance to have the normal life she's always wanted, Hayan is forced to draw on her darkest secret to rid the world of the merciless hunters that took it over 10 years ago. With the support of a rising star in the local police force, Hayan steps up to protect her loved ones, face her past, and get her revenge.",UP EVERY THURSDAY,https://www.webtoons.com/en/supernatural/unholy-blood/list?title_no=1262
5,LUMINE,Emma Krogell,18.9M,Fantasy,9.82,3M,"A runaway werewolf, Lumine, meets a witch boy named Kody and is being hired to work as his bodyguard. Lumine, being determined to befriend Kody, tries everything to get Kody to trust him, while Kody tries to keep Lumine away from him. Their life gets even more complicated after an unfortunate event that leaves them to try to survive on their own.",UP EVERY SUNDAY,https://www.webtoons.com/en/fantasy/lumine/list?title_no=1022
6,Jackson's Diary,Paola Batalla,2.9M,Supernatural,9.66,649K,"The year is 1989, and Jackson is starting his senior year at a brand new school. Even though he's back in his hometown with his new family, he can't seem to shake this ominous and uneasy feeling invading his mind. It's not until he meets the popular kid, Exer, that reality starts to feel more like the work of his imagination.",UP EVERY SUNDAY,https://www.webtoons.com/en/supernatural/jacksons-diary/list?title_no=2446
7,Teenage Mercenary,YC / Rakyeon,"9,29,796",Action,9.87,537.6K,"At the age of eight, Ijin Yu lost his parents in a plane crash and became stranded in a foreign land, forced to become a child mercenary in order to stay alive. He returns home ten years later to be reunited with his family in Korea, where food and shelter are plenty and everything seems peaceful. But Ijin will soon learn that life as a teenager is a whole other feat of survival. With only one year of high school left, Ijin must master new tactics to maneuver his way around the schoolhouse battleground. Can he survive a year of high school? Or rather, will the school be able to survive him?",UP EVERY WEDNESDAY,https://www.webtoons.com/en/action/teenage-mercenary/list?title_no=2677
8,Nice To Meet You,Wishroomness,5.8M,Romance,9.82,1.1M,"A ditsy university student Mew finds a lost student card. Instead of doing the sensible thing, Mew decides to let fate take the wheel and try something silly. Little did she know, she would be confronting the owner of the card, Daze who has some things to say about what she did. Did Mew make the biggest mistake of her life? or the best decision of her life? Follow these two adorable goofballs to find out!",UP EVERY MONDAY,https://www.webtoons.com/en/romance/nice-to-meet-you/list?title_no=2066
9,I Love Yoo,Quimchee,29M,Drama,9.78,4.3M,"Dogged by pain and misfortune from the very beginning, Shin-Ae decides she wants nothing to do with people nor anything to do with romance. Although content with her unsocial, boring, loveless existence, her lifestyle is challenged after she ruins an unsuspecting strangers' clothes.",UP EVERY FRIDAY,https://www.webtoons.com/en/drama/i-love-yoo/list?title_no=986
10,The Makeup Remover,Lee Yone,9.3M,Romance,9.7,1M,"After years of being told to focus on studying, Yeseul feels lost when she starts college and is suddenly expected to pay attention to makeup. When a chance encounter with brilliant makeup artist Yuseong leads to her taking part in a televised makeup competition, Yeseul begins to question the role that makeup and appearance play in society.","UP EVERY TUE, FRI",https://www.webtoons.com/en/romance/the-makeup-remover/list?title_no=2186
11,Acception,Colourbee,10.2M,Drama,9.07,750.6K,"With his rainbow-colored hair and love of all things fashion, Arcus is anything BUT your average teenager. He's an upbeat independent thinker, proud fashionista, and like the rest of us, is just looking for a few friends to call his own. 
 Acception may be Arcus' story , but it's all OUR stories too - and it is for anyone who's ever struggled to fit in, find love, or thought that High School was pretty much the worst thing ever invented.","UP EVERY TUE, FRI",https://www.webtoons.com/en/drama/acception/list?title_no=1513
12,She's Hopeless,Seokwoo,1.5M,Drama,9.66,669.6K,"Though she comes from a rich family, Gabin is a bullied loner at school. That doesn't mean she puts up with bullying from other students, though -- Gabin is infamous for her fierce personality. Worried about Gabin's well-being, her family secretly offers Tae-ung $500,000 to transfer schools and act as her bodyguard. Will Tae-ung be able to protect her from the school bullies, all while keeping his identity hidden from Gabin and the other students?",UP EVERY SATURDAY,https://www.webtoons.com/en/drama/shes-hopeless/list?title_no=2767
13,The Blood of the Butterfly,SAM,8.3M,Fantasy,9.75,332.3K,"When a swarm of giant bugs threatens to wipe out humanity, the world's only defense is a group of humans with special abilities called Butterflies. For Maehwa Baek, Butterflies are just heroic people he sees on TV until a tragic event brings him to the scientists that created them. Soon, Maehwa must confront questions about himself that he has long avoided: why does he lose control at the sight of his own blood? And what happened during the 13 years of his life that he can't remember?",UP EVERY SATURDAY,https://www.webtoons.com/en/fantasy/your-throne/list?title_no=2009
14,Your Throne,Remin,"2,17,959",Fantasy,9.81,1.2M,"Tensions are brewing under the seemingly calm surface of the Vasilios Empire, a kingdom ruled by the Imperial Family and the Temple. Lady Medea Solon has lost her place next to Crown Prince Eros, but resolves to do whatever it will take to win back what's rightfully hers. Will she reclaim her throne?",UP EVERY SATURDAY,https://www.webtoons.com/en/fantasy/blood-of-the-butterfly/list?title_no=3162
15,To Love Your Enemy,Jungyoon / Taegeon,10.8M,Romance,9.74,1.7M,"Having mastered the art of lying her way through life, Yeonhee Bae has vowed to leave her past behind and make a fresh start for herself by going to college at 24. But when she runs into someone who knows a secret from her past that could completely ruin her reputation, her hopes for a perfect life suddenly start to crumble. Amidst college gossip, crushes, and jealousy, can the two set aside their differences and embrace each other for who they really are?",UP EVERY MONDAY,https://www.webtoons.com/en/romance/to-love-your-enemy/list?title_no=2114
16,Sixth Sense Kiss,Got W / Jocobong,"7,90,313",Romance,9.71,485.1K,"Yesul Hong has a secret -- when she kisses someone, she can see flashes of their future. It's hard to believe she's ever met the right guy when she can't even see herself in their destiny. She doesn't get much use out of her ability until one day, when she accidentally kisses her evil boss, Minhu Cha, who's got a secret of his own. To her utter shock, she sees a vision of herselfâ€¦ in bed with him! As if that's not confusing enough, she shows up to work the next day to find out that her first love has been hired to work in her department. Will she be able to survive working with the man she wished had been her destiny and the man she's destined to be with?",UP EVERY SATURDAY,https://www.webtoons.com/en/romance/sixth-sense-kiss/list?title_no=2921
17,Weak Hero,SEOPASS / RAZEN,9.9M,Action,9.85,1M,"Once the bullies target you, it's game over. The school is run by tyrants whose favorite hobby is tormenting the weakest kids in class. But then Gray arrived. This mysterious new student threatens to dismantle the established order. He may be small in stature, but his calculative and brutal fighting leaves unsuspecting opponents lying on the floor begging for mercy. Now the school's toughest bullies have to scramble to take down this new and unusual hero.",UP EVERY THURSDAY,https://www.webtoons.com/en/action/weakhero/list?title_no=1726
