S. No	Category	State/UT	2016	2017	2018	Percentage Share of State/UT (2018)	Mid-Year Projected Population (in Lakhs) (2018)+	Rate of Total Cyber Crimes (2018)++
1	State	Andhra Pradesh	616	931	1207	4.4	520.3	2.3
2	State	Arunachal Pradesh	4	1	7	0	14.9	0.5
3	State	Assam	696	1120	2022	7.4	340.4	5.9
4	State	Bihar	309	433	374	1.4	1183.3	0.3
5	State	Chhattisgarh	90	171	139	0.5	284.7	0.5
6	State	Goa	31	13	29	0.1	15.3	1.9
7	State	Gujarat	362	458	702	2.6	673.2	1
8	State	Haryana	401	504	418	1.5	284	1.5
9	State	Himachal Pradesh	31	56	69	0.3	72.7	0.9
10	State	Jammu & Kashmir	28	63	73	0.3	134.3	0.5
11	State	Jharkhand	259	720	930	3.4	370.5	2.5
12	State	Karnataka	1101	3174	5839	21.4	654.5	8.9
13	State	Kerala	283	320	340	1.2	350	1
14	State	Madhya Pradesh	258	490	740	2.7	814.7	0.9
15	State	Maharashtra	2380	3604	3511	12.9	1213.9	2.9
16	State	Manipur	11	74	29	0.1	30.8	0.9
17	State	Meghalaya	39	39	74	0.3	32	2.3
18	State	Mizoram	1	10	6	0	11.8	0.5
19	State	Nagaland	2	0	2	0	21.3	0.1
20	State	Odisha	317	824	843	3.1	435.5	1.9
21	State	Punjab	102	176	239	0.9	297	0.8
22	State	Rajasthan	941	1304	1104	4.1	765.9	1.4
23	State	Sikkim	1	1	1	0	6.6	0.2
24	State	Tamil Nadu	144	228	295	1.1	754.6	0.4
25	State	Telangana	593	1209	1205	4.4	370.3	3.3
26	State	Tripura	8	7	20	0.1	39.6	0.5
27	State	Uttar Pradesh	2639	4971	6280	23	2230	2.8
28	State	Uttarakhand	62	124	171	0.6	110.6	1.5
29	State	West Bengal	478	568	335	1.2	965	0.3
State	State	Total State(s)	12187	21593	27004	99.1	12997.9	2.1
30	Union Territory	A & N Islands	3	3	7	0	4	1.8
31	Union Territory	Chandigarh	26	32	30	0.1	11.7	2.6
32	Union Territory	D&N Haveli	1	1	0	0	5.3	0
33	Union Territory	Daman & Diu	0	0	0	0	4	0
34	Union Territory	Delhi UT	98	162	189	0.7	195.6	1
35	Union Territory	Lakshadweep	0	0	4	0	0.7	6
36	Union Territory	Puducherry	2	5	14	0.1	14.8	0.9
Union Territory	Union Territory	Total UT(s)	130	203	244	0.9	236	1
Total (All India)	Total (All India)	Total (All India)	12317	21796	27248	100	13233.8	2.1
