signal_id,id_measurement,phase,target
0,0,0,0
1,0,1,0
2,0,2,0
3,1,0,1
4,1,1,1
5,1,2,1
6,2,0,0
7,2,1,0
8,2,2,0
9,3,0,0
10,3,1,0
11,3,2,0
12,4,0,0
13,4,1,0
14,4,2,0
15,5,0,0
16,5,1,0
17,5,2,0
18,6,0,0
19,6,1,0
20,6,2,0
21,7,0,0
22,7,1,0
23,7,2,0
24,8,0,0
25,8,1,0
26,8,2,0
27,9,0,0
28,9,1,0
29,9,2,0
30,10,0,0
31,10,1,0
32,10,2,0
33,11,0,0
34,11,1,0
35,11,2,0
36,12,0,0
37,12,1,0
38,12,2,0
39,13,0,0
40,13,1,0
41,13,2,0
42,14,0,0
43,14,1,0
44,14,2,0
45,15,0,0
46,15,1,0
47,15,2,0
48,16,0,0
49,16,1,0
50,16,2,0
51,17,0,0
52,17,1,0
53,17,2,0
54,18,0,0
55,18,1,0
56,18,2,0
57,19,0,0
58,19,1,0
59,19,2,0
60,20,0,0
61,20,1,0
62,20,2,0
63,21,0,0
64,21,1,0
65,21,2,0
66,22,0,0
67,22,1,0
68,22,2,0
69,23,0,0
70,23,1,0
71,23,2,0
72,24,0,0
73,24,1,0
74,24,2,0
75,25,0,0
76,25,1,0
77,25,2,0
78,26,0,0
79,26,1,0
80,26,2,0
81,27,0,0
82,27,1,0
83,27,2,0
84,28,0,0
85,28,1,0
86,28,2,0
87,29,0,0
88,29,1,0
89,29,2,0
90,30,0,0
91,30,1,0
92,30,2,0
93,31,0,0
94,31,1,0
95,31,2,0
96,32,0,0
97,32,1,0
98,32,2,0
99,33,0,0
100,33,1,0
101,33,2,0
102,34,0,0
103,34,1,0
104,34,2,0
105,35,0,0
106,35,1,0
107,35,2,0
108,36,0,0
109,36,1,0
110,36,2,0
111,37,0,0
112,37,1,0
113,37,2,0
114,38,0,0
115,38,1,0
116,38,2,0
117,39,0,0
118,39,1,0
119,39,2,0
120,40,0,0
121,40,1,0
122,40,2,0
123,41,0,0
124,41,1,0
125,41,2,0
126,42,0,0
127,42,1,0
128,42,2,0
129,43,0,0
130,43,1,0
131,43,2,0
132,44,0,0
133,44,1,0
134,44,2,0
135,45,0,0
136,45,1,0
137,45,2,0
138,46,0,0
139,46,1,0
140,46,2,0
141,47,0,0
142,47,1,0
143,47,2,0
144,48,0,0
145,48,1,0
146,48,2,0
147,49,0,0
148,49,1,0
149,49,2,0
150,50,0,0
151,50,1,0
152,50,2,0
153,51,0,0
154,51,1,0
155,51,2,0
156,52,0,0
157,52,1,0
158,52,2,0
159,53,0,0
160,53,1,0
161,53,2,0
162,54,0,0
163,54,1,0
164,54,2,0
165,55,0,0
166,55,1,0
167,55,2,0
168,56,0,0
169,56,1,0
170,56,2,0
171,57,0,0
172,57,1,0
173,57,2,0
174,58,0,0
175,58,1,0
176,58,2,0
177,59,0,0
178,59,1,0
179,59,2,0
180,60,0,0
181,60,1,0
182,60,2,0
183,61,0,0
184,61,1,0
185,61,2,0
186,62,0,0
187,62,1,0
188,62,2,0
189,63,0,0
190,63,1,0
191,63,2,0
192,64,0,0
193,64,1,0
194,64,2,0
195,65,0,0
196,65,1,0
197,65,2,0
198,66,0,0
199,66,1,0
200,66,2,0
201,67,0,1
202,67,1,1
203,67,2,0
204,68,0,0
205,68,1,0
206,68,2,0
207,69,0,0
208,69,1,0
209,69,2,0
210,70,0,0
211,70,1,0
212,70,2,0
213,71,0,0
214,71,1,0
215,71,2,0
216,72,0,0
217,72,1,0
218,72,2,0
219,73,0,0
220,73,1,0
221,73,2,0
222,74,0,0
223,74,1,0
224,74,2,0
225,75,0,0
226,75,1,0
227,75,2,0
228,76,0,1
229,76,1,1
230,76,2,1
231,77,0,0
232,77,1,0
233,77,2,0
234,78,0,0
235,78,1,0
236,78,2,0
237,79,0,0
238,79,1,0
239,79,2,0
240,80,0,0
241,80,1,0
242,80,2,0
243,81,0,0
244,81,1,0
245,81,2,0
246,82,0,0
247,82,1,0
248,82,2,0
249,83,0,0
250,83,1,0
251,83,2,0
252,84,0,0
253,84,1,0
254,84,2,0
255,85,0,0
256,85,1,0
257,85,2,0
258,86,0,0
259,86,1,0
260,86,2,0
261,87,0,0
262,87,1,0
263,87,2,0
264,88,0,0
265,88,1,0
266,88,2,0
267,89,0,0
268,89,1,0
269,89,2,0
270,90,0,1
271,90,1,1
272,90,2,1
273,91,0,0
274,91,1,0
275,91,2,0
276,92,0,0
277,92,1,0
278,92,2,0
279,93,0,1
280,93,1,1
281,93,2,1
282,94,0,0
283,94,1,0
284,94,2,0
285,95,0,1
286,95,1,1
287,95,2,1
288,96,0,0
289,96,1,0
290,96,2,1
291,97,0,0
292,97,1,0
293,97,2,0
294,98,0,1
295,98,1,1
296,98,2,1
297,99,0,0
298,99,1,0
299,99,2,0
300,100,0,0
301,100,1,0
302,100,2,0
303,101,0,0
304,101,1,0
305,101,2,0
306,102,0,0
307,102,1,0
308,102,2,0
309,103,0,0
310,103,1,0
311,103,2,0
312,104,0,0
313,104,1,0
314,104,2,0
315,105,0,0
316,105,1,0
317,105,2,0
318,106,0,0
319,106,1,0
320,106,2,0
321,107,0,0
322,107,1,0
323,107,2,0
324,108,0,0
325,108,1,0
326,108,2,0
327,109,0,0
328,109,1,0
329,109,2,0
330,110,0,0
331,110,1,0
332,110,2,0
333,111,0,0
334,111,1,0
335,111,2,0
336,112,0,0
337,112,1,0
338,112,2,0
339,113,0,0
340,113,1,0
341,113,2,0
342,114,0,0
343,114,1,0
344,114,2,0
345,115,0,0
346,115,1,0
347,115,2,0
348,116,0,0
349,116,1,0
350,116,2,0
351,117,0,0
352,117,1,0
353,117,2,0
354,118,0,0
355,118,1,0
356,118,2,0
357,119,0,0
358,119,1,0
359,119,2,0
360,120,0,0
361,120,1,0
362,120,2,0
363,121,0,0
364,121,1,0
365,121,2,0
366,122,0,0
367,122,1,0
368,122,2,0
369,123,0,0
370,123,1,0
371,123,2,0
372,124,0,0
373,124,1,0
374,124,2,0
375,125,0,0
376,125,1,0
377,125,2,0
378,126,0,0
379,126,1,0
380,126,2,1
381,127,0,0
382,127,1,0
383,127,2,0
384,128,0,0
385,128,1,0
386,128,2,0
387,129,0,0
388,129,1,0
389,129,2,0
390,130,0,0
391,130,1,0
392,130,2,0
393,131,0,0
394,131,1,0
395,131,2,0
396,132,0,0
397,132,1,0
398,132,2,0
399,133,0,0
400,133,1,0
401,133,2,0
402,134,0,0
403,134,1,0
404,134,2,0
405,135,0,0
406,135,1,0
407,135,2,0
408,136,0,1
409,136,1,1
410,136,2,1
411,137,0,0
412,137,1,0
413,137,2,0
414,138,0,0
415,138,1,0
416,138,2,0
417,139,0,0
418,139,1,0
419,139,2,0
420,140,0,0
421,140,1,0
422,140,2,0
423,141,0,0
424,141,1,0
425,141,2,0
426,142,0,0
427,142,1,0
428,142,2,0
429,143,0,0
430,143,1,0
431,143,2,0
432,144,0,1
433,144,1,1
434,144,2,1
435,145,0,1
436,145,1,1
437,145,2,1
438,146,0,0
439,146,1,0
440,146,2,0
441,147,0,0
442,147,1,0
443,147,2,0
444,148,0,0
445,148,1,0
446,148,2,0
447,149,0,0
448,149,1,0
449,149,2,0
450,150,0,0
451,150,1,0
452,150,2,0
453,151,0,0
454,151,1,0
455,151,2,0
456,152,0,1
457,152,1,1
458,152,2,1
459,153,0,0
460,153,1,0
461,153,2,0
462,154,0,0
463,154,1,0
464,154,2,0
465,155,0,0
466,155,1,0
467,155,2,0
468,156,0,0
469,156,1,0
470,156,2,0
471,157,0,0
472,157,1,0
473,157,2,0
474,158,0,0
475,158,1,0
476,158,2,0
477,159,0,0
478,159,1,0
479,159,2,1
480,160,0,0
481,160,1,0
482,160,2,0
483,161,0,0
484,161,1,0
485,161,2,0
486,162,0,0
487,162,1,0
488,162,2,0
489,163,0,0
490,163,1,0
491,163,2,0
492,164,0,0
493,164,1,0
494,164,2,0
495,165,0,0
496,165,1,0
497,165,2,0
498,166,0,0
499,166,1,0
500,166,2,0
501,167,0,0
502,167,1,0
503,167,2,0
504,168,0,0
505,168,1,0
506,168,2,0
507,169,0,0
508,169,1,0
509,169,2,0
510,170,0,0
511,170,1,0
512,170,2,0
513,171,0,0
514,171,1,0
515,171,2,0
516,172,0,1
517,172,1,1
518,172,2,1
519,173,0,0
520,173,1,0
521,173,2,0
522,174,0,0
523,174,1,0
524,174,2,0
525,175,0,0
526,175,1,0
527,175,2,0
528,176,0,0
529,176,1,0
530,176,2,0
531,177,0,0
532,177,1,0
533,177,2,0
534,178,0,0
535,178,1,0
536,178,2,0
537,179,0,0
538,179,1,0
539,179,2,0
540,180,0,0
541,180,1,0
542,180,2,0
543,181,0,0
544,181,1,0
545,181,2,0
546,182,0,0
547,182,1,0
548,182,2,0
549,183,0,0
550,183,1,0
551,183,2,0
552,184,0,0
553,184,1,0
554,184,2,0
555,185,0,0
556,185,1,0
557,185,2,0
558,186,0,0
559,186,1,0
560,186,2,0
561,187,0,0
562,187,1,0
563,187,2,0
564,188,0,0
565,188,1,0
566,188,2,0
567,189,0,0
568,189,1,0
569,189,2,0
570,190,0,1
571,190,1,1
572,190,2,1
573,191,0,0
574,191,1,0
575,191,2,0
576,192,0,0
577,192,1,0
578,192,2,0
579,193,0,0
580,193,1,0
581,193,2,0
582,194,0,0
583,194,1,0
584,194,2,0
585,195,0,0
586,195,1,0
587,195,2,0
588,196,0,0
589,196,1,0
590,196,2,0
591,197,0,0
592,197,1,0
593,197,2,0
594,198,0,0
595,198,1,0
596,198,2,0
597,199,0,0
598,199,1,0
599,199,2,0
600,200,0,0
601,200,1,0
602,200,2,0
603,201,0,0
604,201,1,0
605,201,2,0
606,202,0,0
607,202,1,0
608,202,2,0
609,203,0,0
610,203,1,0
611,203,2,0
612,204,0,0
613,204,1,0
614,204,2,0
615,205,0,0
616,205,1,0
617,205,2,0
618,206,0,0
619,206,1,0
620,206,2,0
621,207,0,0
622,207,1,0
623,207,2,0
624,208,0,0
625,208,1,0
626,208,2,0
627,209,0,0
628,209,1,0
629,209,2,0
630,210,0,0
631,210,1,0
632,210,2,0
633,211,0,0
634,211,1,0
635,211,2,0
636,212,0,0
637,212,1,0
638,212,2,0
639,213,0,0
640,213,1,0
641,213,2,0
642,214,0,0
643,214,1,0
644,214,2,0
645,215,0,0
646,215,1,0
647,215,2,0
648,216,0,0
649,216,1,0
650,216,2,0
651,217,0,0
652,217,1,0
653,217,2,0
654,218,0,0
655,218,1,0
656,218,2,0
657,219,0,0
658,219,1,0
659,219,2,0
660,220,0,0
661,220,1,0
662,220,2,0
663,221,0,0
664,221,1,0
665,221,2,0
666,222,0,0
667,222,1,0
668,222,2,0
669,223,0,0
670,223,1,0
671,223,2,0
672,224,0,0
673,224,1,0
674,224,2,0
675,225,0,0
676,225,1,0
677,225,2,0
678,226,0,1
679,226,1,1
680,226,2,1
681,227,0,0
682,227,1,0
683,227,2,0
684,228,0,0
685,228,1,0
686,228,2,0
687,229,0,0
688,229,1,0
689,229,2,0
690,230,0,0
691,230,1,0
692,230,2,0
693,231,0,0
694,231,1,0
695,231,2,0
696,232,0,0
697,232,1,0
698,232,2,0
699,233,0,1
700,233,1,1
701,233,2,1
702,234,0,0
703,234,1,0
704,234,2,0
705,235,0,1
706,235,1,1
707,235,2,1
708,236,0,1
709,236,1,1
710,236,2,1
711,237,0,0
712,237,1,0
713,237,2,0
714,238,0,0
715,238,1,0
716,238,2,0
717,239,0,0
718,239,1,0
719,239,2,0
720,240,0,0
721,240,1,0
722,240,2,0
723,241,0,0
724,241,1,0
725,241,2,0
726,242,0,0
727,242,1,0
728,242,2,0
729,243,0,0
730,243,1,0
731,243,2,0
732,244,0,0
733,244,1,0
734,244,2,0
735,245,0,0
736,245,1,0
737,245,2,0
738,246,0,0
739,246,1,0
740,246,2,0
741,247,0,0
742,247,1,0
743,247,2,0
744,248,0,0
745,248,1,0
746,248,2,0
747,249,0,0
748,249,1,0
749,249,2,0
750,250,0,0
751,250,1,0
752,250,2,0
753,251,0,0
754,251,1,0
755,251,2,0
756,252,0,0
757,252,1,0
758,252,2,0
759,253,0,0
760,253,1,0
761,253,2,0
762,254,0,0
763,254,1,0
764,254,2,0
765,255,0,0
766,255,1,0
767,255,2,0
768,256,0,0
769,256,1,0
770,256,2,0
771,257,0,0
772,257,1,0
773,257,2,0
774,258,0,0
775,258,1,0
776,258,2,0
777,259,0,0
778,259,1,0
779,259,2,0
780,260,0,0
781,260,1,0
782,260,2,0
783,261,0,0
784,261,1,0
785,261,2,0
786,262,0,0
787,262,1,0
788,262,2,0
789,263,0,0
790,263,1,0
791,263,2,0
792,264,0,0
793,264,1,0
794,264,2,0
795,265,0,0
796,265,1,0
797,265,2,0
798,266,0,0
799,266,1,0
800,266,2,0
801,267,0,0
802,267,1,0
803,267,2,0
804,268,0,0
805,268,1,0
806,268,2,0
807,269,0,0
808,269,1,0
809,269,2,0
810,270,0,0
811,270,1,0
812,270,2,0
813,271,0,1
814,271,1,0
815,271,2,0
816,272,0,0
817,272,1,0
818,272,2,0
819,273,0,0
820,273,1,0
821,273,2,0
822,274,0,0
823,274,1,0
824,274,2,0
825,275,0,0
826,275,1,0
827,275,2,0
828,276,0,0
829,276,1,0
830,276,2,0
831,277,0,0
832,277,1,0
833,277,2,0
834,278,0,0
835,278,1,0
836,278,2,0
837,279,0,0
838,279,1,0
839,279,2,0
840,280,0,0
841,280,1,0
842,280,2,0
843,281,0,0
844,281,1,0
845,281,2,0
846,282,0,0
847,282,1,0
848,282,2,0
849,283,0,0
850,283,1,0
851,283,2,0
852,284,0,0
853,284,1,0
854,284,2,0
855,285,0,0
856,285,1,0
857,285,2,0
858,286,0,0
859,286,1,0
860,286,2,0
861,287,0,0
862,287,1,0
863,287,2,0
864,288,0,0
865,288,1,0
866,288,2,0
867,289,0,0
868,289,1,0
869,289,2,0
870,290,0,0
871,290,1,0
872,290,2,0
873,291,0,0
874,291,1,0
875,291,2,0
876,292,0,1
