Season ,Episode ,Name,On Air,Year,IMDB,Watch Time (minutes),Summary
1,1,Efectuar lo acordado,02-May-17,2017,8.4,47,"The Professor recruits a young female robber and seven other criminals for a grand heist, targeting the Royal Mint of Spain."
1,2,Imprudencias letales,09-May-17,2017,8.4,41,Hostage negotiator Raquel makes initial contact with the Professor. One of the hostages is a crucial part of the thieves' plans.
1,3,Misfire,16-May-17,2017,8.2,50,Police grab an image of the face of one of the robbers. Raquel is suspicious of the gentleman she meets at a bar.
1,4,Caballo de Troya,23-May-17,2017,8.3,51,Raquel is adversely affected by a personal crisis with her ex-husband. The hostages are afraid of the sound of gunshots they heard. Thieves argue among themselves.
1,5,El día de la marmota,30-May-17,2017,8.4,42,A sudden development in the investigation and a mistake made by one of the thieves confronts the Professor with a serious risk that could lead to his identity being revealed.
1,6,La cálida Guerra Fría,06-Jun-17,2017,8.3,43,"The problems inside and outside the National Currency and Stamp Factory are growing. The biggest robbery in history does not allow any mistakes and each time, the tension and fear is rising. What opportunities are there for everything to go well?"
1,7,Refrigerada inestabilidad,13-Jun-18,2017,8.4,47,"A new police plan will make Raquel enter the National Factory of Currency and Stamp, right at the peak of the biggest heist in history. Berlin will be responsible for being the most extravagant host that the inspector has ever seen. What is their plan"
1,8,Tú lo has buscado,20-Jun-19,2017,8.2,43,"Despite the setbacks and to keep more than 60 hours locked up, the mood of the robbers does not decline. The printing of tickets can not go better, surpassing the figures that had been marked and the construction of the tunnel initiates a new phase that will facilitate the perforation. In the police tent, however, the weather has become rare after the assault on the pharmacy. Suspicion begins to settle in Raquel and Angel, both distrust each other despite having been more than partners. Neither policemen nor robbers know that a leak is being planned among the hostages..."
1,9,El que la sigue la consigue,27-Jun-20,2017,8.7,42,The professor talks with Raquel's mother on stressful conditions. Darphanede wants thieves to choose between money and freedom from the hostages.
2,1,Se acabaron las máscaras,16-Oct-17,2017,8.6,54,The police finds the house where The Professor has planned everything. Tokyo and Berlin are fighting about how to proceed.
2,2,La cabeza del plan,23-Oct-17,2017,8.5,42,Tokyo is questioned by the police. The Professor and Raquel's ex-husband are getting into a fight.
2,3,Cuestión de eficacia,02-Nov-17,2017,8.8,43,"The hostages are trying to execute an outbreak, while things are escalating between the robbers. Will The Professor make his call in time?"
2,4,¿Qué hemos hecho?,09-Nov-17,2017,8.8,55,Raquel is discovering the identity of The Professor. The tension inside the House of national Stamp and Currency is rising.
2,5,A contrarreloj,16-Nov-17,2017,8.8,42,The execution of the plan is in its final stages. Inspector Raquel is accused of working together with The Professor.
2,6,Bella ciao,23-Nov-17,2017,9.4,43,"After confessing a long-held secret, Moscow loses his son's trust. A contingency plan to free Tokyo hits a snag, forcing her to improvise."
3,1,We're Back,19-Jul-19,2019,8.3,51,"When Rio is captured, a distraught Tokyo turns to the Professor for help. Armed with a bold new plan, they reunite the team in order to rescue him."
3,2,Aikido,19-Jul-19,2019,8.4,42,The Professor recruits Martín to put his brother's plan into action and target the Bank of Spain. First step? Create total chaos.
3,3,48 Meters Underground,19-Jul-19,2019,8.4,50,Tokyo and Nairobi's efforts go drastically awry. The Professor recalls Berlin detailing how they'd steal the gold from the water-logged vault.
3,4,It's Dolphin Time,19-Jul-19,2019,8.1,44,"Tamayo's breaches of protocol surprise the Professor. Bogotá calms Denver's anxieties. With time running out, Palermo initiates the ""Flipper"" plan."
3,5,"Boom, Boom, Ciao",19-Jul-19,2019,8.1,50,"The Professor shocks officials with his latest stunt, but in response, a new inspector rattles Raquel. Palermo and Nairobi get into a heated argument."
3,6,Everything Seemed Insignificant,19-Jul-19,2019,8.3,48,"Just as Inspector Sierra orchestrates a plan to sneak a team into the Bank of Spain, the Professor and Raquel lose communication with Palermo."
3,7,A Quick Vacation,19-Jul-20,2019,8.5,46,Tokyo's happiness turns bittersweet. Ángel closes in on a quarreling Raquel and the Professor. Authorities offer a multimillion-dollar reward for tips.
3,8,Astray,19-Jul-21,2019,9.5,60,"Tokyo attempts to drown her sorrows. Sierra uses personal tactics to target a vulnerable Nairobi, while Suárez continues to hunt down Raquel."
4,1,Game Over,03-Apr-20,2020,7.5,54,"Anger and grief heighten tensions between the group. The Professor, while in mourning, attempts to make a daring and dangerous escape."
4,2,Berlin's Wedding,03-Apr-20,2020,7.2,46,Palermo shocks the group with his actions. Sierra pressures her subject to take a deal. The Professor remembers his brother's wedding.
4,3,Anatomy Lesson,03-Apr-20,2020,7.1,43,The Professor's mole attempts to pass along his message to the person inside the tent. Denver's jealousy toward Mónica and Rio's friendship heightens.
4,4,Pasodoble,03-Apr-20,2020,7.7,54,"In the past, Berlin predicts that Gandía will cause problems for the operation. Sierra's interrogation of Lisboa leads to a personal revelation."
4,5,5 Minutes Earlier,03-Apr-20,2020,7.2,44,Denver turns to an undercover source for help. Nairobi attempts to motivate her team as the danger around them intensifies.
4,6,TKO,03-Apr-20,2020,7.6,47,"With Nairobi held hostage, Gandía negotiates with the crew. The Professor desperately seeks a new plan to save his team."
