batsman,total_runs,out,numberofballs,average,strikerate
V Kohli,5426,152,4111,35.69736842105263,131.98735100948676
SK Raina,5386,160,3916,33.6625,137.53830439223697
RG Sharma,4902,161,3742,30.4472049689441,130.99946552645645
DA Warner,4717,114,3292,41.37719298245614,143.28675577156744
S Dhawan,4601,137,3665,33.583941605839414,125.53888130968622
CH Gayle,4525,110,2972,41.13636363636363,152.2543741588156
MS Dhoni,4450,118,3206,37.71186440677966,138.80224578914536
RV Uthappa,4420,156,3381,28.333333333333332,130.73055309080155
AB de Villiers,4414,104,2902,42.44230769230769,152.10199862164023
G Gambhir,4219,134,3400,31.48507462686567,124.08823529411765
AM Rahane,3834,117,3133,32.76923076923077,122.37472071496968
KD Karthik,3669,138,2813,26.58695652173913,130.43014575186632
SR Watson,3590,115,2566,31.217391304347824,139.90646921278253
AT Rayudu,3313,114,2616,29.06140350877193,126.64373088685015
YK Pathan,3222,110,2240,29.29090909090909,143.83928571428572
BB McCullum,2886,106,2185,27.22641509433962,132.08237986270024
PA Patel,2864,127,2352,22.551181102362204,121.7687074829932
MK Pandey,2855,95,2352,30.05263157894737,121.3860544217687
KA Pollard,2772,102,1879,27.176470588235293,147.52527940393827
Yuvraj Singh,2755,109,2121,25.275229357798164,129.8915605846299
V Sehwag,2728,98,1746,27.836734693877553,156.24284077892327
M Vijay,2589,93,2104,27.838709677419356,123.0513307984791
SE Marsh,2489,65,1866,38.292307692307695,133.38692390139335
JH Kallis,2427,89,2219,27.269662921348313,109.37359170797656
DR Smith,2385,81,1758,29.444444444444443,135.6655290102389
SR Tendulkar,2334,71,1943,32.87323943661972,120.12352032938753
SV Samson,2215,79,1693,28.037974683544302,130.8328411104548
R Dravid,2174,77,1877,28.233766233766232,115.8231220031966
AC Gilchrist,2069,76,1492,27.223684210526315,138.67292225201072
SPD Smith,2038,59,1570,34.54237288135593,129.80891719745222
JP Duminy,2031,49,1633,41.44897959183673,124.37232088181263
KL Rahul,1988,49,1428,40.57142857142857,139.2156862745098
MEK Hussey,1977,52,1608,38.01923076923077,122.94776119402985
RA Jadeja,1931,83,1567,23.265060240963855,123.22910019144864
F du Plessis,1861,56,1459,33.232142857142854,127.553118574366
DA Miller,1858,54,1327,34.407407407407405,140.01507159005274
DPMD Jayawardene,1808,64,1460,28.25,123.83561643835617
WP Saha,1767,74,1340,23.87837837837838,131.86567164179104
RR Pant,1767,49,1071,36.06122448979592,164.9859943977591
AJ Finch,1741,66,1332,26.37878787878788,130.7057057057057
MK Tiwary,1696,60,1446,28.266666666666666,117.28907330567083
SS Iyer,1695,57,1321,29.736842105263158,128.3118849356548
KC Sangakkara,1687,69,1387,24.44927536231884,121.62941600576784
NV Ojha,1555,74,1308,21.013513513513512,118.88379204892968
Mandeep Singh,1535,71,1227,21.619718309859156,125.10187449062755
DJ Bravo,1494,63,1155,23.714285714285715,129.35064935064935
Q de Kock,1478,46,1109,32.130434782608695,133.27321911632103
KK Nair,1465,61,1137,24.016393442622952,128.84784520668427
S Badrinath,1441,48,1210,30.020833333333332,119.0909090909091
AD Russell,1415,41,752,34.51219512195122,188.16489361702128
GJ Maxwell,1401,62,864,22.596774193548388,162.15277777777777
BJ Hodge,1400,46,1117,30.434782608695652,125.33572068039392
JC Buttler,1396,37,919,37.729729729729726,151.90424374319912
SC Ganguly,1349,54,1261,24.98148148148148,106.9785884218874
DJ Hussey,1322,48,1069,27.541666666666668,123.666978484565
KS Williamson,1309,34,964,38.5,135.7883817427386
CA Lynn,1288,37,909,34.810810810810814,141.6941694169417
SS Tiwary,1276,42,1064,30.38095238095238,119.92481203007519
MA Agarwal,1269,67,988,18.940298507462686,128.4412955465587
TM Dilshan,1153,41,1006,28.121951219512194,114.61232604373757
IK Pathan,1150,52,948,22.115384615384617,121.30801687763713
ML Hayden,1107,27,802,41.0,138.0299251870324
N Rana,1093,40,808,27.325,135.27227722772278
