Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$3,328,148,500","1,079,811","9,755,511","2,656,431"
CryptoPunks,"$1,664,246,968","4,723","18,961","3,289"
Art Blocks,"$1,075,223,906","20,934","117,602","25,094"
Bored Ape Yacht Club,"$783,882,186","8,284","22,584","5,862"
NBA Top Shot,"$781,965,423","374,818","11,790,699","603,928"
Mutant Ape Yacht Club,"$422,429,206","10,350","17,343","10,254"
Loot,"$264,652,035","3,571","9,997","2,555"
Meebits,"$237,519,388","5,112","13,580","5,361"
Cool Cats,"$186,937,798","7,960","23,007","5,029"
CrypToadz,"$170,407,439","6,277","15,005","3,525"
Parallel Alpha,"$163,724,921","11,103","67,736",
MekaVerse,"$157,475,681","4,668","9,335","5,089"
0N1 Force,"$147,262,453","6,917","15,982","4,217"
Farmers World,"$142,416,548","19,459","456,350","28,679"
Pudgy Penguins,"$136,335,178","9,948","26,720","4,719"
Sorare,"$129,615,752","42,675","713,122","60,277"
PUNKS Comic,"$129,584,623","3,357","8,757","3,097"
Zed Run,"$120,191,155","40,469","160,217","40,190"
CyberKongz,"$119,204,627","2,279","3,962","2,048"
Solana Monkey Business,"$111,321,313","3,033","6,727","2,566"
Degenerate Ape Academy,"$110,968,075","5,816","17,266","5,002"
Bored Ape Kennel Club,"$108,210,267","5,622","13,715","5,013"
Curio Cards,"$102,446,048","6,051","18,595",1
The Sandbox,"$101,869,777","9,349","20,452","14,723"
Doodles,"$97,201,419","7,069","12,899","5,150"
Veefriends,"$96,224,091","1,401","2,940","5,099"
Creature World NFT,"$93,805,609","9,245","19,740","5,928"
Emblem Vault,"$86,635,500","3,951","14,411","4,495"
LOSTPOETS,"$85,240,932","7,429","19,165","6,349"
Hashmasks,"$81,416,217","5,419","17,768","5,089"
World Of Women,"$80,972,342","6,574","17,576","4,568"
Bored Ape Chemistry Club,"$79,456,705","1,454","2,508",1
The Doge Pound,"$77,618,297","6,325","12,674","5,501"
Aurory,"$73,560,965","5,447","12,152","5,598"
Sneaky Vampire Syndicate,"$63,849,854","5,244","12,384","4,621"
Lazy Lions,"$62,711,441","8,547","20,880","4,739"
Mooncats,"$59,724,904","6,826","19,897","5,918"
CyberKongz VX,"$59,478,087","5,253","14,123","3,916"
Kaiju Kingz,"$55,537,147","1,824","3,209","1,829"
MutantCats,"$55,460,314","8,614","19,482","4,369"
GalacticApes,"$54,804,326","6,025","15,564","3,466"
Fluf World,"$54,684,778","5,214","14,803","3,500"
Sup Ducks,"$54,344,484","5,891","14,987","3,256"
Wolf Game,"$51,776,391","3,803","8,542",180
888 Inner Circle,"$49,408,610","5,040","9,423",1
Galactic Gecko Space Garage,"$45,980,345","5,193","18,117","4,107"
CryptoKitties,"$45,790,208","111,129","786,656","109,858"
Anonymice,"$45,737,499","2,097","5,466","1,454"
Galaxy Eggs,"$45,598,922","7,026","15,296","5,068"
Autoglyphs,"$41,866,276",183,349,157
The Sevens,"$41,144,115","5,155","9,567","3,956"
Koala Intelligence Agency,"$40,591,577","7,519","16,275","4,903"
Adam Bomb Squad,"$40,193,328","8,774","23,440","7,958"
Neo Tokyo Identities,"$39,417,867",691,901,"1,908"
The n project,"$38,674,794","4,757","11,825","2,437"
Vox Collectibles,"$37,809,113","5,242","14,172","3,095"
The Humanoids,"$37,221,336","8,158","17,566","5,289"
Treeverse,"$36,541,570","4,575","9,943","3,828"
The Shiboshis,"$36,173,994","2,565","5,961","3,622"
Gutter Cat Gang,"$35,876,258","1,729","3,343",
The CryptoDads,"$35,221,001","6,945","13,596","8,144"
