POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
Owner,0,0,2,BHK,1300.236407,1,1,"Ksfc Layout,Bangalore",12.96991,77.59796,55.0
Dealer,0,0,2,BHK,1275.0,1,1,"Vishweshwara Nagar,Mysore",12.274538,76.644605,51.0
Owner,0,0,2,BHK,933.1597222000001,1,1,"Jigani,Bangalore",12.778033,77.632191,43.0
Owner,0,1,2,BHK,929.9211427000001,1,1,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,62.5
Dealer,1,0,2,BHK,999.0092470000001,0,1,"New Town,Kolkata",22.5922,88.484911,60.5
Owner,0,0,3,BHK,1250.0,1,1,"South Chittoor,Kochi",10.03328,76.28257099999999,42.0
Dealer,0,0,3,BHK,1495.053957,1,1,"Sodala,Jaipur",26.916347,75.7956,66.5
Owner,0,1,3,BHK,1181.012946,1,1,"Kharar,Mohali",30.74,76.65,52.0
Dealer,0,1,2,BHK,1040.0,1,1,"Bileshivale,Bangalore",13.054202,77.674002,41.6
Owner,0,1,2,BHK,879.1208791000001,1,1,"Chromepet,Chennai",12.95161,80.14097,36.0
Owner,0,0,3,BHK,1350.308642,1,1,"Deshbandhu Para,Siliguri",26.724219,88.326357,35.0
Dealer,0,0,2,BHK,1333.0101789999999,1,1,"Hebbal,Bangalore",13.040339999999999,77.591347,110.0
Owner,0,0,2,BHK,927.1779023,1,1,"Garebhavipalya,Bangalore",12.96991,77.59796,48.0
Owner,0,1,2,BHK,1122.1719460000002,1,1,"Sector-119 Noida,Noida",28.587711,77.403123,62.0
Owner,0,0,1,BHK,649.9837504,1,1,"sanjay nagar,Raigad",13.0352,77.5772,20.0
Dealer,1,1,3,BHK,1394.117647,0,1,"Sector-150 Noida,Noida",28.429614,77.481711,71.1
Owner,0,0,3,BHK,1800.08471,1,1,"Jharapada,Bhubaneswar",20.275267000000003,85.86240699999999,85.0
Dealer,1,1,3,BHK,2124.896706,0,1,"Konanakunte,Bangalore",12.8855,77.5638,180.0
Owner,0,0,2,BHK,1100.0,1,1,"Nagpur Road,Wardha",21.15389,79.08306,22.0
Dealer,0,1,3,BHK,2178.649237,1,1,"Kogilu,Bangalore",13.092356,77.61346800000001,120.0
Owner,0,0,2,BHK,881.1435285,1,1,"Poonamallee,Chennai",13.05,80.11,45.0
Dealer,0,0,2,BHK,944.8818898,1,1,"Undri,Pune",18.452663,73.93104,42.0
Dealer,0,1,3,BHK,1310.1476890000001,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,55.0
Dealer,0,0,1,BHK,630.00063,1,1,"Bandra (West),Mumbai",19.05444,72.84056,300.0
Dealer,0,0,2,BHK,1219.80971,1,1,"Narendra Nagar,Nagpur",21.105779000000002,79.078497,50.0
